file,source_folder,scale,n_batch_files,n_units,n_ratings,median_n_per_unit,quality_flag,status,placeholder,dimension,scale_labels,question_provenance,scale_source,language
acd_project_expt_44_the_same_nov_29_2012_1,ACD project- expt 44 the same; nov 29 2012 1,1-5,1,140,2931,10,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 (PSYCHEDELIC EGGPLANT / Paris judgments family) via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,ACD project- expt 45 HKV expt 2 plaus; nov 29 2012,1-5,2,360,7023,20,scale_unconfirmed,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"scale_catalog row 2 via the ACD sibling ""ACD project- expt 46 also in HKV 2"" dashboard row",english
acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,ACD project- expt 46 also in HKV 2; nov 29 2012 1,1-5,1,448,3524,8,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"dashboard_sibling: dashboard_scale_labels, scale_source_project=""Paris judgments 3 Dec 2012""; scale_catalog row 2",english
active_passive_sentence_naturalness_survey_july_2012,Active passive sentence naturalness survey july 2012,1-5,2,132,6624,28,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"dashboard_sibling: dashboard_scale_labels, scale_source_project=""Acceptability Judgments - Kang""; scale_catalog row 3",english
agreement_norming_nov,Agreement norming Nov,1-5,2,159,5649,30,scale_unconfirmed,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed (corrected),"own row questionnaire_wording.csv (match_score=1.0, local_template=canonical html_maker_rating.py generator, hard-codes 'Sentence rating:' + 5-pt naturalness scale) -- supersedes draft's scale_catalog row 65 pick, which matched only by coincidental batch date to a differently-named sibling project 'Agreement norming Nov 18'",english
alex_paunov_literal_inferences_dec_3_2011,Alex Paunov literal inferences Dec 3 2011,1-5,1,299,2979,10,ok,ok,sentence,literalness,Extremely non-literal | Somewhat non-literal | Medium | Somewhat literal | Extremely literal,reconstructed,"dashboard_own: dashboard_scale_labels, scale_source_project=""Alex Paunov literal inferences Dec 3 2011"" (this project); scale_catalog row 64",english
animacy_passive_dative_kyle,animacy passive dative-kyle,1-7,1,120,4649,39,ok,ok,sentence,naturalness,Extremely unnatural | Fairly unnatural | Slightly unnatural | Neither natural nor unnatural | Slightly natural | Fairly natural | Extremely natural,reconstructed,"dashboard_own: dashboard_scale_labels, scale_source_project=""animacy passive dative-kyle"" (this project); scale_catalog row 62",english
anne_abeille_acceptability_july_12_2017_1,Anne Abeille acceptability July 12 2017 1,1-7,1,296,4284,8,ok,ok,sentence,naturalness,Extremely unnatural | Unnatural | Somewhat unnatural | Neutral | Somewhat natural | Natural | Extremely natural,reconstructed,"scale_catalog row 6 (""Anne Abeille acceptability July 15 2022 / May 8 2020 / Dec 2019"")",english
brief_sentence_naturalness_survey_march_2011,Brief sentence naturalness survey March 2011,1-5,2,64,1864,29,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,reconstructed,"template_html_maker_rating (local generator html_maker_rating.py, match_score 1.0, answer fields Rating;YNQ); scale_catalog rows 3/29",english
chomsky_items,Chomsky items,1-5,12,94,2344,20,ok,blocked_missing_wording,sentence,unspecified,,,,english
copy_cat_polly_dec_2013_1,Copy cat Polly Dec 2013 1,1-7,1,60,1597,20,caveat: rating prompt text merged into unit,ok,sentence,causal_likelihood,Extremely unlikely | Unlikely | Somewhat unlikely | Possible | Somewhat likely | Likely | Extremely likely,verbatim marker phrase embedded in every raw unit ('How likely is the following causal statement:') + raw HIT Title states the causality dimension ('40 short texts to be rated for their causality'),"own wording row has wording_status=not recovered (match_score 0.33); scale borrowed cross-project from dashboard-recovered sibling 'Copy cat Polly June 2014' (same LONELY PELICAN survey family, scale_source_project 'Copy cat Polly June 2014 / Dec 2013'); SCALE_CATALOG row 23",english
copy_cat_polly_june_2014,Copy cat Polly June 2014,1-7,3,100,4783,30,caveat: rating prompt text merged into unit,ok,sentence,causal_likelihood,Extremely unlikely | Unlikely | Somewhat unlikely | Possible | Somewhat likely | Likely | Extremely likely,verbatim marker phrase embedded in every raw unit ('How likely is the following causal statement:') + raw HIT Title states the causality dimension,"own row dashboard_scale_labels (wording_status=RECOVERED via dashboard_layout, scale_source_project='Copy cat Polly June 2014 / Dec 2013'); SCALE_CATALOG row 23",english
copy_cat_polly_june_2014_v2_1,Copy cat Polly June 2014 v2 1,1-7,1,90,1194,10,caveat: rating prompt text merged into unit,ok,sentence,causal_likelihood,Extremely unlikely | Unlikely | Somewhat unlikely | Possible | Somewhat likely | Likely | Extremely likely,verbatim marker phrase embedded in every raw unit ('How likely is the following causal statement:') + raw HIT Title states the causality dimension,"own row dashboard_scale_labels (wording_status=RECOVERED via dashboard_layout, scale_source_project='Copy cat Polly June 2014 / Dec 2013'); SCALE_CATALOG row 23",english
copy_of_verb_causality_study_semantics_ratings_mk_april_2010,Copy of Verb causality study - semantics ratings (MK April 2010),1-5,1,62,620,10,ok,ok,word,causativity,Always happens on its own | Probably happens on its own | Either is possible | Somebody/something probably makes it | Somebody/something always makes it,reconstructed from own-row dashboard_scale_labels poles (self-caused vs. externally-caused event); raw HIT Title/Description are generic ('Brief English-language survey: Apatosaurus-convention code name') and do not name the dimension,"own row dashboard_scale_labels (wording_status=RECOVERED via dashboard_layout, scale_source_project='Verb causality study - semantics ratings (MK)', i.e. this project itself); SCALE_CATALOG row 70 (single-project scale)",english
copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010,Copy of Verb causality study - semantics ratings (V3O1 MK April 2010),1-5,1,62,619,10,ok,ok,word,causativity,Always happens on its own | Probably happens on its own | Either is possible | Somebody/something probably makes it | Somebody/something always makes it,"reconstructed from own-row dashboard_scale_labels poles (self-caused vs. externally-caused event); raw HIT Title/Description generic, no dimension named",own row dashboard_scale_labels (scale_source_project='Verb causality study - semantics ratings (MK)'); SCALE_CATALOG row 70,english
copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010,Copy of Verb causality study - semantics ratings (V3O2 MK April 2010),1-5,1,62,611,10,ok,ok,word,causativity,Always happens on its own | Probably happens on its own | Either is possible | Somebody/something probably makes it | Somebody/something always makes it,"reconstructed from own-row dashboard_scale_labels poles (self-caused vs. externally-caused event); raw HIT Title/Description generic, no dimension named",own row dashboard_scale_labels (scale_source_project='Verb causality study - semantics ratings (MK)'); SCALE_CATALOG row 70,english
copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010,Copy of Verb causality study - semantics ratings (V3O4 MK April 2010),1-5,1,62,620,10,ok,ok,word,causativity,Always happens on its own | Probably happens on its own | Either is possible | Somebody/something probably makes it | Somebody/something always makes it,"reconstructed from own-row dashboard_scale_labels poles (self-caused vs. externally-caused event); raw HIT Title/Description generic, no dimension named",own row dashboard_scale_labels (scale_source_project='Verb causality study - semantics ratings (MK)'); SCALE_CATALOG row 70,english
cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,cul jack april 12 2012 54 short texts with two comprehension questions and a rating. CODENAME- EFFICIENT LIZARD,1-7,2,210,6565,19,ok,ok,sentence,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,reconstructed: passage-plus-final-target-sentence structure verified directly in converted CSV units; dimension not stated in raw HIT Title/Description ('54 short texts with two comprehension questions and a rating'),"own row dashboard_scale_labels stripped of the two Yes/No comprehension fields; SCALE_CATALOG row 5 explicitly lists this project by name among its 19 member projects ('cul jack april 12 2012 54 short texts') -- direct attestation, not analogy",english
cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an,cul jack april 2012 60 short texts with two comprehension questions and a rating. CODENAME- EFFICIENT LIZARD,1-7,2,60,4594,77,ok,blocked_missing_wording,sentence,unspecified,,,,english
cul_jack_sentence_naturalness_survey_2_sept_2011,Cul & Jack Sentence naturalness survey 2 Sept 2011,1-5,2,220,15238,37,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,folder-name convention ('Sentence naturalness survey'); raw HIT Title/Description generic ('70 sentences followed by a question and a rating'),"own row scale_labels, local_template html_maker_rating.py, match_score 1.0 (direct recovery, stronger than the 'folder_name_convention_only' evidence tag in the draft map); SCALE_CATALOG rows 3/29",english
cul_jack_sentence_naturalness_survey_april_2010,Cul & Jack Sentence naturalness survey April 2010,1-5,12,220,5026,12,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,folder-name convention ('Sentence naturalness survey'); raw HIT Title/Description generic ('70 sentences followed by a question and a rating'),"own row scale_labels, local_template html_maker_rating.py, match_score 1.0 (direct recovery); SCALE_CATALOG rows 3/29",english
disfluencies_sentence_naturalness_survey_april_2011,disfluencies sentence naturalness survey April 2011,1-5,2,144,3878,12,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,folder-name convention ('sentence naturalness survey'); raw HIT Title/Description generic ('54 sentences followed by a question and a rating'),"own row scale_labels, local_template html_maker_rating.py, match_score 1.0 (direct recovery); SCALE_CATALOG rows 3/29",english
ecog_sentences_imaginability_jan_8_2014,ECOG sentences imaginability Jan 8 2014,1-5,2,120,4784,40,ok,ok,sentence,imaginability,Extremely unimaginable | Somewhat unimaginable | Possible | Somewhat imaginable | Extremely imaginable,dimension confirmed by own-row dashboard_scale_labels vocabulary ('imaginable'/'unimaginable') and folder name; raw HIT Title/Description generic ('Rating 120 English sentences: EXTRAVAGANT HAWK survey') and do not name the dimension directly,"own row dashboard_scale_labels (wording_status=RECOVERED via dashboard_layout, scale_source_project = this project itself); SCALE_CATALOG row 57 (unique single-project scale)",english
ecog_sentences_naturalness_jan_8_2014_2,ECOG sentences naturalness Jan 8 2014 2,1-5,2,120,4441,37,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,"folder-name convention ('naturalness'); raw HIT Title/Description generic ('Rating 120 English sentences: EXTRAVAGANT HAWK survey'), no project-specific dashboard row","no own dashboard_scale_labels; own scale_labels field is the generic bias_norm.html A/B-preference template (match_score 0.5, wrong dimension, disregarded). Standard tedlab 5-point naturalness scale used instead (SCALE_CATALOG rows 3/29, the most common naturalness scale in the corpus), corroborated structurally by paired-dimension sibling ecog_sentences_imaginability_jan_8_2014 (same survey, same unit set, same 5-point+Yes/No layout)",english
erp_norming_error_detection_june_2013_4,ERP norming error detection- June 2013 4,1-5,1,323,9545,29,ok,ok,sentence,error_likelihood,Extremely unlikely | Somewhat unlikely | Possible | Somewhat likely | Extremely likely,"raw HIT Title states the dimension verbatim ('Read a sentence, answer a question, and rate the likelihood of error')","own row dashboard_scale_labels (wording_status=RECOVERED via dashboard_layout, scale_source_project = this project itself); SCALE_CATALOG row 24",english
erp_sentence_naturalness_survey_june_2013_2,ERP sentence naturalness survey June 2013 2,1-5,1,484,10036,20,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,raw HIT Title states the dimension verbatim ('165 sentences to be rated for naturalness'),"own row dashboard_scale_labels (wording_status=RECOVERED via dashboard_layout, scale_source_project = 'Verb transitivity/causal study - syntax (MK)', cross-project dashboard borrow); SCALE_CATALOG row 29",english
eunice_disfluency_2_nov_17_2011,Eunice disfluency 2 Nov 17 2011,1-5,1,180,3536,10,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,folder-name convention ('disfluency' naturalness study); raw HIT Title/Description generic ('60 sentences followed by a question and a rating'),"own row scale_labels, local_template html_maker_rating.py, match_score 1.0 (direct recovery -- stronger evidence than the 'dashboard_sibling / Acceptability Judgments - Kang' provenance recorded in the draft map; that sibling dashboard_scale_labels independently corroborates the identical 5-point scale); SCALE_CATALOG row 3",english
eunice_disfluency_nov_15_2011,Eunice disfluency Nov 15 2011,1-5,2,468,6655,10,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,folder-name convention ('disfluency' naturalness study); raw HIT Title/Description generic ('108 sentences followed by a question and a rating'),"own row scale_labels, local_template html_maker_rating.py, match_score 1.0 (direct recovery); SCALE_CATALOG row 3",english
imperative_control_iad_gs_may_16_2011_purple_puppy,Imperative control IaD GS May 16 2011 Purple Puppy,1-5,1,96,2873,20,ok,ok,sentence,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,"reconstructed from raw unit structure verified directly in the raw MTurk CSV (Input.trial_1_N = situation sentence(s), Input.trial_2_N = target imperative utterance, Input.question_1_N = per-item comprehension question); raw HIT Title/Description generic ('48 sentences followed by a rating and a question')","no dashboard row for this exact folder; borrowed from same-code-name, same-item-count sibling 'Sentence naturalness survey for GS May 11 2011 Purple Puppy' (48 sentences, dashboard_scale_labels 'Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural | Yes | No', scale_source_project 'Sentence naturalness survey for JK June 24'); SCALE_CATALOG row 42 verified verbatim (top label is 'Entirely natural', not 'Extremely natural')",english
isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,ISAC Sentence naturalness survey Feb 2011 64 items survey code= GIANT-COBRA,1-7,1,256,7649,30,scale_unconfirmed,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,folder-name convention ('Sentence naturalness survey'); raw HIT Title/Description generic ('64 sentences followed by a question and a rating: survey code = GIANT-COBRA'),"own row's recovered scale_labels field is the generic bias_norm.html A/B-preference template (match_score 0.5, wrong dimension -- disregarded); no project-specific dashboard row exists. Used the tedlab 7-point naturalness scale (SCALE_CATALOG row 41, whose sole directly-named project is 'Word3/Word3-b: Word naturalness survey May 2011'; row 5's related 9-point Yes/No+7-point family is the closest attested analogue) matched to the observed 1-7 range and the folder's 'naturalness' name",english
isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra,ISAC Sentence naturalness survey Feb 2011 survey code= GIANT-COBRA,1-7,1,256,3063,12,scale_unconfirmed,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,folder-name convention ('Sentence naturalness survey'); raw HIT Title/Description generic ('32 sentences followed by a question and a rating: survey code = GIANT-COBRA'),"own row's recovered scale_labels field is the generic bias_norm.html A/B-preference template (match_score 0.5, wrong dimension -- disregarded); no project-specific dashboard row exists. Used the tedlab 7-point naturalness scale (SCALE_CATALOG row 41 / row 5 analogue) matched to the observed 1-7 range and the folder's 'naturalness' name",english
islands_acceptability_expt_2_dec_2_2012,Islands acceptability expt 2 Dec 2 2012,1-5,2,480,5574,11,ok,blocked_missing_wording,sentence,acceptability,,,,english
lauren_sentence_naturalness_survey_expt3_nov_17_2011,Lauren sentence naturalness survey expt3 Nov 17 2011,1-5,1,460,7968,8,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,"reconstructed: question wording ('How natural does the sentence sound?') inferred from the 5-point naturalness scale (Extremely unnatural..Extremely natural) verbatim-verified in questionnaire_wording.csv row for source_folder and in the recovered local generator template html_maker_rating.py ($OD/.../replication/html_maker_rating.py, 'Sentence rating:' radio labels, match_score 1.0); no explicit interrogative question text survives in the recovered template (raw HIT Title/Description name no dimension).","verbatim from questionnaire_wording.csv scale_labels field + recovered template html_maker_rating.py radio labels (5 labels, values 1-5); cross-checked against SCALE_CATALOG.md row 3/29",english
lauren_sentence_naturalness_survey_expt_2_nov_15_2011,Lauren sentence naturalness survey expt 2 Nov 15 2011,1-5,2,252,7121,11,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,"reconstructed: question wording ('How natural does the sentence sound?') inferred from the 5-point naturalness scale (Extremely unnatural..Extremely natural) verbatim-verified in questionnaire_wording.csv row for source_folder and in the recovered local generator template html_maker_rating.py ($OD/.../replication/html_maker_rating.py, 'Sentence rating:' radio labels, match_score 1.0); no explicit interrogative question text survives in the recovered template (raw HIT Title/Description name no dimension).","verbatim from questionnaire_wording.csv scale_labels field + recovered template html_maker_rating.py radio labels (5 labels, values 1-5); cross-checked against SCALE_CATALOG.md row 3/29",english
lauren_sentence_naturalness_survey_oct_14_2011,Lauren sentence naturalness survey Oct 14 2011,1-5,1,360,5318,6,ok,ok,sentence,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,"reconstructed: question wording ('How natural does the sentence sound?') inferred from the 5-point naturalness scale (Extremely unnatural..Extremely natural) verbatim-verified in questionnaire_wording.csv row for source_folder and in the recovered local generator template html_maker_rating.py ($OD/.../replication/html_maker_rating.py, 'Sentence rating:' radio labels, match_score 1.0); no explicit interrogative question text survives in the recovered template (raw HIT Title/Description name no dimension).","verbatim from questionnaire_wording.csv scale_labels field + recovered template html_maker_rating.py radio labels (5 labels, values 1-5); cross-checked against SCALE_CATALOG.md row 3/29",english
massive_mem_arousal_mar_2013,Massive mem- arousal Mar 2013,1-5,8,2020,65008,30,ok,ok,word,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
massive_mem_arousal_mar_2013_end_2,Massive mem- arousal Mar 2013 end 2,1-5,1,242,7026,29,ok,ok,word,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
massive_mem_arousal_mar_2014,Massive mem- arousal Mar 2014,1-5,8,2015,63813,30,ok,ok,word,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
massive_mem_arousal_mar_2014_end_1,Massive mem- arousal Mar 2014 end 1,1-5,1,242,7149,30,ok,ok,word,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
massive_mem_concreteness_mar_2013,Massive mem- concreteness Mar 2013,1-5,9,2020,71679,30,ok,ok,word,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
massive_mem_concreteness_mar_2013_end_1,Massive mem- concreteness Mar 2013 end 1,1-5,1,242,7238,30,ok,ok,word,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
massive_mem_concreteness_mar_2014,Massive mem- concreteness Mar 2014,1-5,8,2019,64058,30,ok,ok,word,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
massive_mem_concreteness_mar_2014_end_1,Massive mem- concreteness Mar 2014 end 1,1-5,1,242,7229,30,ok,ok,word,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).","verbatim from questionnaire_wording.csv dashboard_scale_labels field (5 labels, match_score 1.0) for this folder; cross-checked against SCALE_CATALOG.md row for 'Massive mem: <dimension> Mar 2013/2014'",english
