model,family,params_b,level,n_tasks,share_median,model_trusted_frac
Qwen3-1.7B,Qwen3,2.0,subword,3,0.2706,0.996
Qwen3-1.7B,Qwen3,2.0,lexical_semantics,32,0.3143,0.996
Qwen3-1.7B,Qwen3,2.0,syntax,95,0.2141,0.996
Qwen3-1.7B,Qwen3,2.0,sentence_semantics,38,0.5229,0.996
Qwen3-1.7B,Qwen3,2.0,pragmatics,16,0.0951,0.996
Qwen3-1.7B,Qwen3,2.0,discourse,46,0.3469,0.996
Qwen3-14B,Qwen3,14.8,subword,3,0.7511,0.996
Qwen3-14B,Qwen3,14.8,lexical_semantics,32,0.7089,0.996
Qwen3-14B,Qwen3,14.8,syntax,94,0.8361,0.996
Qwen3-14B,Qwen3,14.8,sentence_semantics,38,0.8481,0.996
Qwen3-14B,Qwen3,14.8,pragmatics,16,0.555,0.996
Qwen3-14B,Qwen3,14.8,discourse,47,0.8019,0.996
Qwen3-32B,Qwen3,32.8,subword,3,0.7992,0.996
Qwen3-32B,Qwen3,32.8,lexical_semantics,32,0.7617,0.996
Qwen3-32B,Qwen3,32.8,syntax,94,0.8287,0.996
Qwen3-32B,Qwen3,32.8,sentence_semantics,38,0.8629,0.996
Qwen3-32B,Qwen3,32.8,pragmatics,16,0.6081,0.996
Qwen3-32B,Qwen3,32.8,discourse,47,0.7461,0.996
Qwen3-4B,Qwen3,4.0,subword,3,0.6548,1.0
Qwen3-4B,Qwen3,4.0,lexical_semantics,32,0.5736,1.0
Qwen3-4B,Qwen3,4.0,syntax,95,0.6926,1.0
Qwen3-4B,Qwen3,4.0,sentence_semantics,38,0.8189,1.0
Qwen3-4B,Qwen3,4.0,pragmatics,16,0.2107,1.0
Qwen3-4B,Qwen3,4.0,discourse,47,0.6414,1.0
Qwen3-8B,Qwen3,8.2,subword,3,0.7027,0.991
Qwen3-8B,Qwen3,8.2,lexical_semantics,32,0.6517,0.991
Qwen3-8B,Qwen3,8.2,syntax,94,0.8051,0.991
Qwen3-8B,Qwen3,8.2,sentence_semantics,38,0.8405,0.991
Qwen3-8B,Qwen3,8.2,pragmatics,16,0.5078,0.991
Qwen3-8B,Qwen3,8.2,discourse,46,0.6847,0.991
Qwen3.5-9B,other,9.7,subword,3,0.6149,1.0
Qwen3.5-9B,other,9.7,lexical_semantics,32,0.7652,1.0
Qwen3.5-9B,other,9.7,syntax,95,0.8193,1.0
Qwen3.5-9B,other,9.7,sentence_semantics,38,0.872,1.0
Qwen3.5-9B,other,9.7,pragmatics,16,0.6137,1.0
Qwen3.5-9B,other,9.7,discourse,47,0.6768,1.0
SmolLM-1.7B-Instruct,other,1.7,subword,0,,0.0
SmolLM-1.7B-Instruct,other,1.7,lexical_semantics,0,,0.0
SmolLM-1.7B-Instruct,other,1.7,syntax,0,,0.0
SmolLM-1.7B-Instruct,other,1.7,sentence_semantics,0,,0.0
SmolLM-1.7B-Instruct,other,1.7,pragmatics,0,,0.0
SmolLM-1.7B-Instruct,other,1.7,discourse,0,,0.0
SmolLM-360M-Instruct,other,0.4,subword,0,,0.0
SmolLM-360M-Instruct,other,0.4,lexical_semantics,0,,0.0
SmolLM-360M-Instruct,other,0.4,syntax,0,,0.0
SmolLM-360M-Instruct,other,0.4,sentence_semantics,0,,0.0
SmolLM-360M-Instruct,other,0.4,pragmatics,0,,0.0
SmolLM-360M-Instruct,other,0.4,discourse,0,,0.0
SmolLM2-135M-Instruct,other,0.1,subword,0,,0.0
SmolLM2-135M-Instruct,other,0.1,lexical_semantics,0,,0.0
SmolLM2-135M-Instruct,other,0.1,syntax,0,,0.0
SmolLM2-135M-Instruct,other,0.1,sentence_semantics,0,,0.0
SmolLM2-135M-Instruct,other,0.1,pragmatics,0,,0.0
SmolLM2-135M-Instruct,other,0.1,discourse,0,,0.0
Yi-1.5-34B-Chat,Yi 1.5,34.4,subword,3,0.6094,1.0
Yi-1.5-34B-Chat,Yi 1.5,34.4,lexical_semantics,32,0.7049,1.0
Yi-1.5-34B-Chat,Yi 1.5,34.4,syntax,95,0.8192,1.0
Yi-1.5-34B-Chat,Yi 1.5,34.4,sentence_semantics,38,0.8083,1.0
Yi-1.5-34B-Chat,Yi 1.5,34.4,pragmatics,16,0.4286,1.0
Yi-1.5-34B-Chat,Yi 1.5,34.4,discourse,47,0.7198,1.0
Yi-1.5-6B-Chat,Yi 1.5,6.1,subword,3,0.1101,0.879
Yi-1.5-6B-Chat,Yi 1.5,6.1,lexical_semantics,27,0.31,0.879
Yi-1.5-6B-Chat,Yi 1.5,6.1,syntax,89,0.6408,0.879
Yi-1.5-6B-Chat,Yi 1.5,6.1,sentence_semantics,34,0.651,0.879
Yi-1.5-6B-Chat,Yi 1.5,6.1,pragmatics,9,0.5091,0.879
Yi-1.5-6B-Chat,Yi 1.5,6.1,discourse,41,0.382,0.879
Yi-1.5-9B-Chat,Yi 1.5,8.8,subword,3,0.4737,0.853
Yi-1.5-9B-Chat,Yi 1.5,8.8,lexical_semantics,20,0.6204,0.853
Yi-1.5-9B-Chat,Yi 1.5,8.8,syntax,91,0.6681,0.853
Yi-1.5-9B-Chat,Yi 1.5,8.8,sentence_semantics,38,0.78,0.853
Yi-1.5-9B-Chat,Yi 1.5,8.8,pragmatics,10,0.6041,0.853
Yi-1.5-9B-Chat,Yi 1.5,8.8,discourse,35,0.6189,0.853
gemma-3-12b-it,Gemma 3,12.2,subword,3,0.7258,1.0
gemma-3-12b-it,Gemma 3,12.2,lexical_semantics,32,0.7057,1.0
gemma-3-12b-it,Gemma 3,12.2,syntax,95,0.798,1.0
gemma-3-12b-it,Gemma 3,12.2,sentence_semantics,38,0.8619,1.0
gemma-3-12b-it,Gemma 3,12.2,pragmatics,16,0.7212,1.0
gemma-3-12b-it,Gemma 3,12.2,discourse,47,0.6709,1.0
gemma-3-1b-it,Gemma 3,1.0,subword,3,0.2842,0.996
gemma-3-1b-it,Gemma 3,1.0,lexical_semantics,32,0.1265,0.996
gemma-3-1b-it,Gemma 3,1.0,syntax,94,0.1817,0.996
gemma-3-1b-it,Gemma 3,1.0,sentence_semantics,38,0.1747,0.996
gemma-3-1b-it,Gemma 3,1.0,pragmatics,16,0.0183,0.996
gemma-3-1b-it,Gemma 3,1.0,discourse,47,0.1099,0.996
gemma-3-27b-it,Gemma 3,27.4,subword,3,0.6455,1.0
gemma-3-27b-it,Gemma 3,27.4,lexical_semantics,32,0.7069,1.0
gemma-3-27b-it,Gemma 3,27.4,syntax,95,0.8577,1.0
gemma-3-27b-it,Gemma 3,27.4,sentence_semantics,38,0.8656,1.0
gemma-3-27b-it,Gemma 3,27.4,pragmatics,16,0.6849,1.0
gemma-3-27b-it,Gemma 3,27.4,discourse,47,0.7591,1.0
gemma-3-4b-it,Gemma 3,4.3,subword,3,0.4359,1.0
gemma-3-4b-it,Gemma 3,4.3,lexical_semantics,32,0.4709,1.0
gemma-3-4b-it,Gemma 3,4.3,syntax,95,0.7424,1.0
gemma-3-4b-it,Gemma 3,4.3,sentence_semantics,38,0.797,1.0
gemma-3-4b-it,Gemma 3,4.3,pragmatics,16,0.4668,1.0
gemma-3-4b-it,Gemma 3,4.3,discourse,47,0.6176,1.0
