model,family,params_b,task,level,n_items,rho,ceiling,share,mass_median
Falcon3-10B-Instruct,Falcon 3,10.3,base_acceptability_0908,syntax,73,0.5277,0.931,0.5669,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,brief_sentence_naturalness_survey_march_2011,sentence_semantics,64,0.8286,0.96,0.8631,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,can_noncan_acceptability_0924,syntax,88,0.5157,0.966,0.5339,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,can_noncan_acceptability_2,syntax,88,0.6252,0.962,0.6499,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,chinese_dative,discourse,96,0.4658,0.715,0.6515,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,class_demo,syntax,44,0.6551,0.927,0.7067,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,clefting_e3,syntax,48,0.3976,0.877,0.4534,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,clefting_e4,syntax,48,0.4911,0.969,0.5068,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,coherence_survey_list1_main,discourse,100,0.8814,0.95,0.9277,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,coherence_survey_list2_main,discourse,100,0.8996,0.948,0.9489,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,coherence_survey_list3_main,discourse,100,0.8681,0.942,0.9215,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,coherence_survey_list4_main,discourse,100,0.8473,0.95,0.8919,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,constituency_tests_2,syntax,48,0.7232,0.836,0.865,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,constituency_tests,syntax,48,0.4934,0.654,0.7545,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,copy_cat_polly_june_2014,discourse,102,0.5451,0.865,0.6302,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,copy_of_verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,62,0.3483,0.83,0.4196,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,crossed_dependencies_long,syntax,201,0.4256,0.899,0.4734,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,syntax,210,0.4659,0.896,0.52,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,cul_jack_sentence_naturalness_survey_april_2010,syntax,220,0.7998,0.952,0.8402,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,dative_alternation_extension_version_2,syntax,229,0.3745,0.456,0.8213,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,dative_finnish,discourse,96,0.2929,0.689,0.4252,0.1535
Falcon3-10B-Instruct,Falcon 3,10.3,dative_turkish,discourse,96,-0.0908,0.734,-0.1237,0.01
Falcon3-10B-Instruct,Falcon 3,10.3,dentella2023_grammaticality,syntax,80,0.5503,0.981,0.561,0.9993
Falcon3-10B-Instruct,Falcon 3,10.3,depth_charge_survey,sentence_semantics,188,0.6086,0.846,0.7194,0.9916
Falcon3-10B-Instruct,Falcon 3,10.3,depth_charge_with_noise,sentence_semantics,188,0.6608,0.854,0.7737,0.9919
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_30subjs_list1,discourse,100,0.8649,0.941,0.9192,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_30subjs_list2,discourse,100,0.9087,0.951,0.9555,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_30subjs_list3,discourse,100,0.8898,0.947,0.9396,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_30subjs_list4,discourse,100,0.8829,0.942,0.9373,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_causality_list1,discourse,100,0.8221,0.935,0.8792,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_causality_list2,discourse,100,0.8436,0.952,0.8862,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_causality_list3,discourse,100,0.8523,0.933,0.9135,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_causality_list4,discourse,100,0.8215,0.955,0.8602,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_changed_0428,discourse,48,0.8227,0.953,0.8633,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_coherence_list1,discourse,100,0.8816,0.943,0.9349,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_coherence_list2,discourse,100,0.8644,0.936,0.9235,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_coherence_list3,discourse,100,0.8659,0.95,0.9115,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_coherence_list4,discourse,100,0.861,0.933,0.9229,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_imagability_pairs_list1,sentence_semantics,100,0.5004,0.917,0.5457,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_imagability_pairs_list2,sentence_semantics,100,0.5288,0.946,0.559,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_imagability_singles_list1,sentence_semantics,100,0.8045,0.938,0.8577,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_imagability_singles_list2,sentence_semantics,100,0.8113,0.954,0.8505,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_imagability_singles_list3,sentence_semantics,100,0.8227,0.931,0.8837,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_imagability_singles_list4,sentence_semantics,100,0.7778,0.948,0.8205,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_mentalizing_pairs_list1,sentence_semantics,100,0.595,0.928,0.6411,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_mentalizing_pairs_list2,sentence_semantics,100,0.6038,0.931,0.6486,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_mentalizing_singles_list1,sentence_semantics,100,0.6193,0.935,0.6624,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_mentalizing_singles_list2,sentence_semantics,100,0.6166,0.925,0.6666,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_mentalizing_singles_list3,sentence_semantics,100,0.5305,0.909,0.5836,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_mentalizing_singles_list4,sentence_semantics,100,0.7507,0.952,0.7886,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_physics_pairs_list1,sentence_semantics,100,0.5305,0.957,0.5543,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_physics_pairs_list2,sentence_semantics,100,0.6095,0.951,0.6409,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_physics_singles_list1,sentence_semantics,100,0.8542,0.943,0.9059,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_physics_singles_list2,sentence_semantics,100,0.7589,0.952,0.7971,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_physics_singles_list3,sentence_semantics,100,0.8184,0.941,0.8697,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_physics_singles_list4,sentence_semantics,100,0.7853,0.942,0.8336,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_scenes_pairs_list1,sentence_semantics,100,0.7892,0.944,0.836,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_scenes_pairs_list2,sentence_semantics,100,0.7878,0.95,0.8292,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_scenes_singles_list1,sentence_semantics,100,0.8214,0.944,0.8702,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_scenes_singles_list2,sentence_semantics,100,0.8221,0.949,0.8663,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_scenes_singles_list3,sentence_semantics,100,0.8253,0.966,0.8543,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,discourse_scenes_singles_list4,sentence_semantics,100,0.8387,0.964,0.87,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,diveica2023_socialness,lexical_semantics,1000,0.8332,0.883,0.9436,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,ecog_sentences_imaginability_jan_8_2014,sentence_semantics,120,0.498,0.833,0.5978,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,ecog_sentences_naturalness_jan_8_2014_2,sentence_semantics,120,0.4774,0.727,0.6567,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,edwards2024_spelling_to_pronunciation_transparency,subword,1000,0.5988,0.826,0.7249,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,erp_norming_error_detection_june_2013_4,syntax,323,-0.5303,0.841,-0.6306,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,erp_sentence_naturalness_survey_june_2013_2,syntax,483,0.7174,0.922,0.7781,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,eunice_disfluency_2_nov_17_2011,syntax,190,0.478,0.832,0.5745,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,eunice_disfluency_nov_15_2011,syntax,468,0.4917,0.807,0.6093,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,european_portuguese_rc,syntax,174,0.726,0.84,0.8643,0.9997
Falcon3-10B-Instruct,Falcon 3,10.3,european_portuguese_wh,syntax,174,0.6814,0.893,0.7631,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,extension,syntax,138,0.6775,0.872,0.7769,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,gabriel_rc,syntax,174,0.6857,0.818,0.8383,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,gabriel_wh,syntax,174,0.5834,0.902,0.6467,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,giurgea2025_motivation,lexical_semantics,1000,0.7327,0.856,0.8559,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,huang_response_set1a,syntax,288,0.4767,0.966,0.4935,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,huang_response_set1b,syntax,288,0.4419,0.964,0.4584,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,huang_response_set2a,syntax,288,0.5052,0.97,0.5208,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,huang_response_set2a_declaratives,syntax,288,0.4714,0.97,0.486,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,huang_response_set2b,syntax,288,0.4751,0.97,0.4897,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,huang_response_set2b_declaratives,syntax,288,0.4979,0.974,0.5112,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,imperative_control_iad_gs_may_16_2011_purple_puppy,pragmatics,96,0.441,0.86,0.5128,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,syntax,256,0.5103,0.885,0.5766,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,islands_acceptability_expt_2_dec_2_2012,syntax,480,0.7021,0.874,0.8034,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,italian_dative_v2,discourse,192,0.2663,0.604,0.4409,0.4706
Falcon3-10B-Instruct,Falcon 3,10.3,italian_locative_v7,discourse,192,0.3563,0.66,0.5398,0.5037
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_auditory,lexical_semantics,1000,0.438,0.831,0.5271,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_foot_leg,lexical_semantics,1000,0.4771,0.729,0.6544,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_gustatory,lexical_semantics,1000,0.2806,0.545,0.5148,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_hand_arm,lexical_semantics,1000,0.2362,0.783,0.3016,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_haptic,lexical_semantics,1000,0.4315,0.808,0.534,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_head,lexical_semantics,1000,0.3937,0.57,0.6907,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_interoceptive,lexical_semantics,1000,0.5525,0.778,0.7102,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_mouth,lexical_semantics,1000,0.4964,0.777,0.6389,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_olfactory,lexical_semantics,1000,0.3367,0.622,0.5413,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_torso,lexical_semantics,1000,0.2938,0.675,0.4352,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lancaster2020_visual,lexical_semantics,1000,0.3951,0.767,0.5152,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lauren_sentence_naturalness_survey_expt3_nov_17_2011,syntax,460,0.5425,0.633,0.8571,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lauren_sentence_naturalness_survey_expt_2_nov_15_2011,syntax,252,0.6692,0.712,0.9399,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lauren_sentence_naturalness_survey_oct_14_2011,syntax,360,0.6789,0.703,0.9658,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lexical_frame_adjectives_likert_set1,syntax,384,0.3725,0.83,0.4488,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lexical_frame_adjectives_likert_set2,syntax,384,0.3166,0.744,0.4255,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,lexical_frame_adjectives_likert_set3,syntax,384,0.3734,0.873,0.4277,0.9999
Falcon3-10B-Instruct,Falcon 3,10.3,locative_topicalization_survey,discourse,229,0.3416,0.777,0.4397,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_arousal_mar_2013,lexical_semantics,1000,0.4945,0.883,0.56,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_arousal_mar_2013_end_2,lexical_semantics,242,0.4802,0.85,0.5649,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_arousal_mar_2014,lexical_semantics,1000,0.5943,0.863,0.6886,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_arousal_mar_2014_end_1,lexical_semantics,242,0.6557,0.886,0.7401,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_concreteness_mar_2013,lexical_semantics,1000,0.556,0.956,0.5816,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_concreteness_mar_2013_end_1,lexical_semantics,242,0.5594,0.959,0.5833,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_concreteness_mar_2014,lexical_semantics,1000,0.4191,0.952,0.4403,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_concreteness_mar_2014_end_1,lexical_semantics,242,0.4406,0.955,0.4614,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_imageability_mar_2013,lexical_semantics,1000,0.7215,0.961,0.7507,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_imageability_mar_2013_end_1,lexical_semantics,242,0.728,0.963,0.756,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_imageability_mar_2014,lexical_semantics,1000,0.4331,0.948,0.4568,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_imageability_mar_2014_end_1,lexical_semantics,242,0.4252,0.964,0.4411,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_valence_mar_2013,lexical_semantics,1000,0.4511,0.948,0.4758,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_valence_mar_2013_end_1,lexical_semantics,242,0.7575,0.966,0.7842,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_valence_mar_2014,lexical_semantics,1000,0.8251,0.961,0.8586,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,massive_mem_valence_mar_2014_end_1,lexical_semantics,242,0.8226,0.959,0.8578,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,melissa_short_naturalness_test,sentence_semantics,24,0.4592,0.968,0.4744,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,missing_vp_extension_0501_final,syntax,72,0.5749,0.741,0.7758,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,missing_vp_extension,syntax,80,0.6529,0.881,0.7411,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,missing_vp_rereplication,syntax,72,0.4906,0.707,0.6939,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,mk_grammaticality_study_7_20,syntax,1000,0.2262,0.876,0.2583,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,muraki2023_concreteness,lexical_semantics,1000,0.3851,0.829,0.4645,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,noisy_channel_acceptability_1_sept_2013_1,syntax,496,0.8162,0.921,0.8862,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,noisy_channel_acceptability_2_sept_2013,syntax,380,0.859,0.965,0.8901,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,noisy_rc_norming_oct19,sentence_semantics,128,0.6093,0.838,0.7271,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,of_acceptability_2,syntax,88,0.4873,0.951,0.5124,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,orange_camel_sentence_naturalness_survey_nov_2010,discourse,144,0.7113,0.861,0.8261,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,orc_lauren_sentence_naturalness_survey_july_2012,syntax,192,0.7499,0.948,0.7911,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,p_p_sentence_naturalness_survey_aug_2010,syntax,252,0.4155,0.859,0.4837,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,p_p_sentence_naturalness_survey_dec_2009,syntax,324,0.5577,0.95,0.587,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,p_p_sentence_naturalness_survey_feb,syntax,614,0.3866,0.664,0.5823,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,p_p_sentence_naturalness_survey_june_2013_v3,syntax,242,0.3372,0.928,0.3634,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,paris_judgments_3_dec_2012,syntax,477,0.5492,0.845,0.65,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,pascal_1_dec_2012,syntax,544,0.1546,0.066,2.3421,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,presup_survey_1_acd_july_2012,pragmatics,240,0.3656,0.83,0.4405,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,presup_survey_2_acd_july_2012,pragmatics,240,0.3038,0.665,0.4569,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,pronouns_following_verbs,pragmatics,44,-0.3243,0.706,-0.4593,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,pronouns_following_verbs_an,pragmatics,44,-0.3076,0.663,-0.4639,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,pronouns_following_verbs_ce,pragmatics,44,-0.289,0.708,-0.4081,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,pronouns_following_verbs_sm,pragmatics,44,0.0414,0.443,0.0935,0.9996
Falcon3-10B-Instruct,Falcon 3,10.3,pronouns_following_verbs_so,pragmatics,44,-0.0921,0.509,-0.1809,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,pronouns_following_verbs_ve,pragmatics,45,-0.2921,0.567,-0.5152,0.9998
Falcon3-10B-Instruct,Falcon 3,10.3,quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,syntax,184,0.6894,0.91,0.7576,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,syntax,168,0.6076,0.96,0.6329,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,syntax,126,0.733,0.965,0.7596,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,quantifier_naturalness_survey_june_4_2010,syntax,192,0.3503,0.639,0.5483,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,quantitative_syntax_survey,syntax,129,0.5276,0.852,0.6192,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,rating_english_sentences,syntax,240,0.5884,0.899,0.6545,0.9995
Falcon3-10B-Instruct,Falcon 3,10.3,reasoning_and_language_tasks_survey_code_talkative_pigeon,syntax,72,0.1886,0.941,0.2004,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,relative_clause_displacements_in_english_sentences,syntax,180,0.3332,0.501,0.6652,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,relative_clause_displacements_in_english_sentences_with_fill,syntax,93,0.2328,0.846,0.2751,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,replication_study_9_59,discourse,185,0.4438,0.363,1.2226,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,richard_islands_acceptability_expt_1_april_25_2013_3,syntax,144,0.5862,0.819,0.7158,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,richard_islands_acceptability_expt_2_april_26_2013,syntax,228,0.7685,0.92,0.8354,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,richard_islands_acceptability_expt_4_april_26_2013_1,syntax,100,0.7827,0.931,0.8407,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,richard_islands_acceptability_expt_5_april_27_2013_1,syntax,132,0.4375,0.619,0.7067,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,syntax,100,0.8255,0.965,0.8554,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,russian_freezing,syntax,180,0.0468,0.898,0.0521,0.9757
Falcon3-10B-Instruct,Falcon 3,10.3,semantics1_finalproject,sentence_semantics,96,0.8977,0.972,0.9236,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,semantics2_finalproject,sentence_semantics,96,0.841,0.986,0.853,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,semantics3_final_project,pragmatics,96,0.7158,0.974,0.7349,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_completions_and_islands_acceptability_expt_1_nov_13_2012,syntax,112,0.8036,0.969,0.8293,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_isac_survey_feb_2011,syntax,304,0.6222,0.836,0.7442,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1,syntax,176,0.6473,0.886,0.7306,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20,syntax,480,0.4752,0.864,0.5499,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_acd_ratings_v4_july_13_2012,syntax,176,0.5073,0.748,0.6781,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_acd_v1_jan_2012,discourse,128,0.0638,0.299,0.2133,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_acd_v6_oct_25_2012,discourse,128,0.0619,0.602,0.1028,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,syntax,200,0.7259,0.986,0.7362,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,syntax,224,0.6462,0.972,0.6648,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,syntax,120,0.4848,0.912,0.5316,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_gs_dec_2009,pragmatics,122,0.5996,0.882,0.6798,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_gs_jan_2010,pragmatics,133,0.7242,0.906,0.7993,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_gs_jan_23_2010,pragmatics,216,0.6417,0.942,0.6812,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,pragmatics,72,0.5128,0.873,0.5874,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_jk_april_4_2010,discourse,96,0.4846,0.886,0.5469,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_jk_april_4_expt_3_2010,discourse,96,0.5208,0.83,0.6274,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_jk_april_9_expt_4_2010,discourse,96,0.4073,0.831,0.4902,1.0
Falcon3-10B-Instruct,Falcon 3,10.3,sentence_naturalness_survey_for_jk_june_24_2010_v2,discourse,176,0.4994,0.787,0.6345,1.0
