id,level,sublevel,confidence,borderline,reason,evidence
isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,syntax,,high,no,Naturalness varying complement-clause/subcategorization frames and embedding.,How natural 1-7; 'regretted that X bribe' vs 'regretted the conjecture that X bribed' frames vary
lancaster2020_auditory,lexical_semantics,perceptual_motor,high,no,Word-level sensory strength rating (auditory modality).,Rate 0-5 experience through hearing; single words vary
lancaster2020_head,lexical_semantics,perceptual_motor,high,no,Word-level motor/body-part strength rating (head actions).,Rate 0-5 experience via head actions; single words vary
lancaster2020_visual,lexical_semantics,perceptual_motor,high,no,Word-level sensory strength rating (visual modality).,Rate 0-5 experience through vision; single words vary
lexical_frame_adjectives_likert_set2,syntax,,high,no,Naturalness varying adjective complement-clause (factive/non-factive) frames.,Rate naturalness 1-5; 'was aware/certain/ashamed that...' frames with different complements vary
massive_mem_arousal_mar_2014,lexical_semantics,affective,high,no,Word arousal rating.,Rate 1-5 exciting/calming; single words vary
massive_mem_concreteness_mar_2014_end_1,lexical_semantics,perceptual_motor,high,no,Word concreteness rating.,Rate 1-5 concrete/abstract; single words vary
massive_mem_imageability_mar_2013,lexical_semantics,perceptual_motor,high,no,Word imageability rating.,Rate 1-5 ease of forming mental image; single words/names vary
massive_mem_valence_mar_2013_end_1,lexical_semantics,affective,high,no,Word valence (pleasantness) rating.,Rate 1-5 pleasant/unpleasant; single words/names vary
missing_vp_extension_0501_final,syntax,,high,no,Understandability rating varying center-embedding depth / missing VP structures.,"Rate understandability 1-5; multiply center-embedded RCs, some missing main VP, vary"
noisy_channel_acceptability_1_sept_2013_1,sentence_semantics,plausibility,low,yes,"Mixed set: thematic-role-reversal plausibility pairs plus argument-structure/word-order corruptions (dative order, locative inversion); no single dominant manipulation.","How natural 1-5; role reversals (TA/professor, airplane/missile) mixed with scrambled datives and locative inversion"
orc_lauren_sentence_naturalness_survey_july_2012,syntax,,high,no,Naturalness varying center-embedded object relative clauses.,How natural 1-5; nested RC depth and RC reduction vary
paris_judgments_3_dec_2012,syntax,,high,no,Naturalness of within-sentence VP-ellipsis and focus-particle ('only'/'even') constructions in isolation.,How natural 1-5; 'did'/'did too'/full VP repeated and only/even placement vary within one sentence
presup_survey_2_acd_july_2012,pragmatics,,high,no,Single-sentence presupposition judgment ('does this need a context'); codebook boundary rule.,"Does sentence need a context 1-5; ellipsis ('did') vs overt verb, every/the vary"
pronouns_following_verbs_so,pragmatics,,medium,no,Strength of intuition about pronoun reference following 'so'-conjoined clause with novel verb.,Rate 1-3 strength of pronoun-referent intuition; nonce verb and subject/object identity vary
quantifier_naturalness_survey_june_4_2010,syntax,,high,no,Naturalness varying quantifier scope / relative-clause attachment structure.,How natural 1-5; quantifiers (few/most/many) and RC/complement structure vary
relative_clause_displacements_in_english_sentences_with_fill,syntax,,high,no,Naturalness varying relative-clause extraposition (RC attached vs extraposed).,Rate normal/understandable 1-5; RC adjacent vs displaced from head noun vary
richard_islands_acceptability_expt_5_april_27_2013_1,syntax,,high,no,Naturalness varying wh-extraction out of island vs non-island (conditional/factive) contexts.,How natural 1-5; extraction site and island-inducing conditional vary
scott2018_concreteness,lexical_semantics,perceptual_motor,high,no,Word concreteness rating (one of several word-property scales).,Rate word 1-7 abstract/concrete; single words vary
scott2018_size,lexical_semantics,perceptual_motor,high,no,Word semantic-size rating; referent size is a perceptual/experiential property.,Rate word 1-7 small/big; single words vary
sentence_completions_and_islands_acceptability_expt_1_nov_13_2012,syntax,,high,no,Naturalness varying island-violation and sentential-complement structures.,How natural 1-5; wh-extraction from complex NP/island contexts vary
sentence_naturalness_survey_acd_v1_jan_2012,discourse,,high,no,Dialogue context + reply crossed with antecedent set/ACD ellipsis; same ACD-dialogue design as acd_context_polly.,Naturalness of Mary's turn in context; audited/did ellipsis crossed with dialogue wording
sentence_naturalness_survey_for_gs_dec_2009,pragmatics,,high,no,"Felicity of an utterance in a described situation; situation constant within families, only utterance varies (context inert).","How natural is utterance in situation 1-5; imperative/conditional phrasing varies, situation fixed per family"
sentence_naturalness_survey_for_jk_april_4_expt_3_2010,discourse,,high,no,"Naturalness of passage varying connective presence ('Consequently','Though') across sentences.",How natural does passage sound; connective inserted/omitted across 3-sentence passages vary
sentence_naturalness_survey_for_jkm_jan_2012,discourse,,high,no,Dialogue context + reply crossed with antecedent set/ACD ellipsis; same ACD-dialogue design as acd_context_polly.,Naturalness of Mary's turn in context; ellipsis vs overt verb crossed with dialogue wording
sentence_naturalness_survey_for_lb_jan_2011_v3,discourse,,high,no,Cross-sentence presupposition ('again') felicity depending on prior sentence.,How natural does passage sound; 'had done before' + 'again' vs 'too' cross-sentence pairs vary
sentence_naturalness_survey_for_rw_dec_2009,discourse,,high,no,Cross-sentence VP-ellipsis ('did'/'did it') anaphora felicity depending on prior sentence.,How natural does passage sound; 'did'/'did it'/'did too' anaphors across two sentences vary
sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,syntax,,high,no,Naturalness varying relative-clause gap/preposition-stranding structure.,How natural 1-7; 'which NP V(ed) NP' vs 'to the NP' gap position vary
troche2014_auditory,lexical_semantics,perceptual_motor,high,no,Word-level sensory-relatedness rating (sound dimension).,Rate 1-7 agreement 'relate to sounds I can hear'; single words vary
troche2014_polarity,lexical_semantics,affective,high,no,Word-level positive/negative feeling rating (valence).,Rate 1-7 agreement 'relate to positive/negative feelings'; single words vary
troche2014_taste_smell,lexical_semantics,perceptual_motor,high,no,Word-level sensory-relatedness rating (taste/smell dimension).,Rate 1-7 agreement 'relate to flavors/odors'; single words vary
tuckute2024_conversational_frequency,other,,high,no,Subjective likelihood of a sentence occurring in conversation; not a linguistic level.,Rate 1-7 likely in conversation vs written text; single sentences vary
tuckute2024_physical_objects,sentence_semantics,conceptual_content,high,no,How much sentence evokes physical objects/interactions; content evoked.,Rate 1-7 evokes physical objects/interactions; single sentences vary in content
verb_causality_study_syntax_ratings_mk_april_2010,syntax,,high,no,Naturalness of real verb + nonce object testing transitivity/argument-structure fit.,"How natural 1-5; intransitive-biased verbs (arriving, departing) used transitively with nonce nouns vary"
winter2017_iconicity,subword,,high,no,Sound-meaning resemblance of real words; form-driven per codebook decision.,Rate 1-10 sound-meaning resemblance; single words vary
word_length_context_sentence_naturalness_survey_april_2011,other,,high,no,"Naturalness varying word length in context (short vs long word choice), not structure or meaning per se.",How natural 1-5; 'ad' vs 'advertisement' length variants in otherwise same sentence vary
