id,level,sublevel,confidence,borderline,reason,evidence
massive_mem_valence_mar_2013,lexical_semantics,affective,high,no,Word/phrase valence rating,How pleasant or unpleasant is the word/phrase 1-5; single words
missing_vp_extension,syntax,,medium,yes,Understandability of center-embedded/missing-VP sentences; structure (embedding depth) varies; folder says sentence_semantics,How understandable 1-5; deeply center-embedded sentences ('The allegation that the proof that...') vary in embedding depth
neal_norming_1,other,,high,no,Plausibility of NP preambles built for agreement experiments,How plausible is the phrase 1-5; 'The accountant beside/for/of/with the millionaire(s)' - preposition/number varies
orange_camel_sentence_naturalness_survey_nov_2010,discourse,,medium,yes,Passage naturalness; personality-trait context crossed with outcome sentence within item families,How natural does passage sound 1-5; 'doesn't pay attention'/'follows directions' crossed with 'got rid of all/none'
p_p_sentence_naturalness_survey_june_2013_v3,syntax,,medium,yes,Donkey-anaphora binding series classified syntax per Andrea's documented boundary decision,How likely to hear/read sentence 1-5; 'A few boys who petted a dog hugged him' - within-sentence pronoun binding
presup_survey_1_acd_july_2012,pragmatics,,high,no,Single-sentence presupposition: does the sentence need a context to be interpreted,"Does sentence need context to be interpreted 1-5; single ACD-structured sentences, no prior context given"
pronouns_following_verbs_sm,pragmatics,,medium,yes,Pronoun-referent strength with implicit-causality/nonce verbs; documented boundary vs binding items,How strong is intuition about pronoun referent 1-3; 'Amanda choked Jessica and similarly she chammed' - nonce verb
quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,syntax,,high,no,Naturalness varying wh-extraction/ellipsis/do-support structure,How natural 1-7; 'who Monica offered a pencil to' vs 'who Monica offered a pencil' vs 'who did offered...to' variants
relative_clause_displacements_in_english_sentences,syntax,,medium,yes,Relative-clause extraposition naturalness; structure varies; folder says sentence_semantics,How normal/understandable 1-5; 'a ranger showed up who brought food' vs 'a ranger who brought food showed up' - RC position varies
richard_islands_acceptability_expt_4_april_26_2013_1,syntax,,high,no,Island-violation naturalness (adjunct/wh-islands),How natural 1-5; 'wondered what...would lead the investigation if Paul took' vs 'wondered whether...took the necklace' - island varies
scott2018_arousal,lexical_semantics,affective,high,no,Word-level arousal rating,Rate word arousal 1-9; single words
scott2018_imageability,lexical_semantics,perceptual_motor,high,no,Word-level imageability rating,Rate word imageability 1-7; single words
semantics3_final_project,pragmatics,,medium,yes,"Agreement with an inference drawn from a two-sentence passage, matches explicit codebook category","How much do you agree with the passage 1-5; 'If elected president, she will have less to worry about/more responsibilities' - inference varies"
sentence_naturalness_survey_acd_ratings_v4_july_13_2012,syntax,,high,no,ACD ellipsis minimal pairs (single sentences) mixed with unrelated fillers,How natural 1-5; 'FBI audited every business that the private company audited/did' plus filler sentences
sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,syntax,,high,no,Particle-verb word-order alternation naturalness,How natural 1-7; 'I broke apart the kids' vs 'I broke the kids apart' - particle placement/NP length varies
sentence_naturalness_survey_for_jk_april_4_2010,discourse,,medium,yes,Passage naturalness with connective manipulation across context sentences,How natural does passage sound 1-5; 'Because Steve was visiting...Adam took notes' vs '...so Adam took notes' - connective varies
sentence_naturalness_survey_for_jkm_dec_2009,discourse,,medium,yes,Dialogue context crossed with ACD-ellipsis reply target (antecedent set x ellipsis),How natural does passage sound 1-5; 'Mary: [context].' 'Mary: FBI audited every/the business that company audited/did' - context+ellipsis crossed
sentence_naturalness_survey_for_lb_jan_2011_v2,discourse,,high,no,"Cross-sentence 'again' presupposition, context crossed with target",How natural does passage sound 1-5; 'had cut down a tree before' vs 'had never cut down a tree before. Today he cut down a tree again' - context varies with 'again'
sentence_naturalness_survey_for_lb_prelim_oct_2010,discourse,,high,no,Cross-sentence 'again' presupposition manipulation,How natural does passage sound 1-5; 'never cut down a tree before. Today he cut down a tree again' vs '...a tree.' - presence of 'again' varies given context
sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,syntax,,high,no,Particle-verb word-order alternation naturalness (expanded item set),How natural 1-7; same particle-placement/NP-length paradigm as feb_16_1_2012 set
topicalization_e1,syntax,,high,no,"Topicalization naturalness, explicit syntax category",How natural 1-5; sentences vary in topicalized/canonical word order
troche2014_motion_self,lexical_semantics,perceptual_motor,high,no,Word-level self-generated-movement (motor) strength rating,Rate agreement 1-7 with 'I relate this word to my own self-generated movement'; single words
troche2014_tactile,lexical_semantics,perceptual_motor,high,no,Word-level tactile sensory-strength rating,Rate agreement 1-7 with 'I relate this word to sensations I can feel with my hands/body'; single words
tuckute2024_arousal,sentence_semantics,affective,high,no,Sentence-level arousal rating,How much does sentence make you feel stimulated/excited/aroused 1-7; single sentences
tuckute2024_mental_states,sentence_semantics,conceptual_content,high,no,Sentence-level mental-states content rating,How much does sentence evoke others' thoughts/beliefs/emotions 1-7; single sentences
verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,conceptual,high,no,"Word-level verb causality rating, explicit conceptual dimension",Does event happen on its own or is it caused 1-5; single verbs/words
warriner2013_valence,lexical_semantics,affective,high,no,Word-level valence rating,Rate word valence 1-9; single words
word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,subword,,high,no,"Wordlikeness of nonwords, explicit subword category","How natural does made-up word sound as possible English word 1-7; stimuli are nonwords (bek, bewk, bown)"
