task,level,sublevel,source,language,scale,n_items,n_ratings,ratings_per_item,individual_ratings,human_r_sb,human_rho_sb,merged_from,path
cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,syntax,,mturk,english,1-7,210,11159,32,yes,0.905,0.896,cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an,data/syntax/cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions
cul_jack_sentence_naturalness_survey_april_2010,syntax,,mturk,english,1-5,220,24336,63,yes,0.98,0.952,cul_jack_sentence_naturalness_survey_2_sept_2011;2wh_3wh_sentence_naturalness_survey_april_2011,data/syntax/cul_jack_sentence_naturalness_survey_april_2010
dative_alternation_extension_version_2,syntax,,surveyor,english,1-5,229,2301,5,yes,0.438,0.456,,data/syntax/dative_alternation_extension_version_2
dentella2023_grammaticality,syntax,,published,english,0-1,80,8000,100,yes,0.985,0.981,,data/syntax/dentella2023_grammaticality
erp_norming_error_detection_june_2013_4,syntax,,mturk,english,1-5,323,9545,29,yes,0.924,0.841,,data/syntax/erp_norming_error_detection_june_2013_4
erp_sentence_naturalness_survey_june_2013_2,syntax,,mturk,english,1-5,483,9618,20,yes,0.959,0.922,,data/syntax/erp_sentence_naturalness_survey_june_2013_2
eunice_disfluency_2_nov_17_2011,syntax,,mturk,english,1-5,190,7414,22,yes,0.84,0.832,disfluencies_sentence_naturalness_survey_april_2011,data/syntax/eunice_disfluency_2_nov_17_2011
eunice_disfluency_nov_15_2011,syntax,,mturk,english,1-5,468,6655,10,yes,0.814,0.807,,data/syntax/eunice_disfluency_nov_15_2011
european_portuguese_rc,syntax,,surveyor,non-english,1-7,174,2849,9,yes,0.86,0.84,,data/syntax/european_portuguese_rc
european_portuguese_wh,syntax,,surveyor,non-english,1-7,174,2744,9,yes,0.892,0.893,,data/syntax/european_portuguese_wh
extension,syntax,,surveyor,english,1-7,138,1527,10,yes,0.895,0.872,,data/syntax/extension
gabriel_rc,syntax,,surveyor,non-english,1-7,174,2794,9,yes,0.892,0.818,,data/syntax/gabriel_rc
gabriel_wh,syntax,,surveyor,non-english,1-7,174,2912,10,yes,0.904,0.902,,data/syntax/gabriel_wh
huang_response_set1a,syntax,,surveyor,english,1-7,288,14347,50,yes,0.966,0.966,,data/syntax/huang_response_set1a
huang_response_set1b,syntax,,surveyor,english,1-7,288,14358,50,yes,0.963,0.964,,data/syntax/huang_response_set1b
huang_response_set2a,syntax,,surveyor,english,1-7,288,14354,50,yes,0.971,0.97,,data/syntax/huang_response_set2a
huang_response_set2a_declaratives,syntax,,surveyor,english,1-7,288,14328,50,yes,0.97,0.97,,data/syntax/huang_response_set2a_declaratives
huang_response_set2b,syntax,,surveyor,english,1-7,288,14324,50,yes,0.971,0.97,,data/syntax/huang_response_set2b
huang_response_set2b_declaratives,syntax,,surveyor,english,1-7,288,14364,50,yes,0.974,0.974,,data/syntax/huang_response_set2b_declaratives
isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,syntax,,mturk,english,1-7,256,10712,42,yes,0.904,0.885,isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra,data/syntax/isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c
islands_acceptability_expt_2_dec_2_2012,syntax,,mturk,english,1-5,480,5574,11,yes,0.873,0.874,,data/syntax/islands_acceptability_expt_2_dec_2_2012
lauren_sentence_naturalness_survey_expt3_nov_17_2011,syntax,,mturk,english,1-5,460,7968,8,yes,0.696,0.633,,data/syntax/lauren_sentence_naturalness_survey_expt3_nov_17_2011
lauren_sentence_naturalness_survey_expt_2_nov_15_2011,syntax,,mturk,english,1-5,252,7121,11,yes,0.906,0.712,,data/syntax/lauren_sentence_naturalness_survey_expt_2_nov_15_2011
lauren_sentence_naturalness_survey_oct_14_2011,syntax,,mturk,english,1-5,360,5318,6,yes,0.806,0.703,,data/syntax/lauren_sentence_naturalness_survey_oct_14_2011
lexical_frame_adjectives_likert_set1,syntax,,surveyor,english,1-5,384,7668,20,yes,0.826,0.83,,data/syntax/lexical_frame_adjectives_likert_set1
lexical_frame_adjectives_likert_set2,syntax,,surveyor,english,1-5,384,7646,20,yes,0.736,0.744,,data/syntax/lexical_frame_adjectives_likert_set2
lexical_frame_adjectives_likert_set3,syntax,,surveyor,english,1-5,384,7643,20,yes,0.872,0.873,,data/syntax/lexical_frame_adjectives_likert_set3
missing_vp_extension,syntax,,surveyor,english,1-5,80,3715,61,yes,0.895,0.881,,data/syntax/missing_vp_extension
missing_vp_extension_0501_final,syntax,,surveyor,english,1-5,72,2159,17,yes,0.739,0.741,,data/syntax/missing_vp_extension_0501_final
missing_vp_rereplication,syntax,,surveyor,english,1-5,72,1151,9,yes,0.674,0.707,,data/syntax/missing_vp_rereplication
mk_grammaticality_study_7_20,syntax,,mturk,english,1-5,1524,15145,10,yes,0.874,0.876,,data/syntax/mk_grammaticality_study_7_20
noisy_channel_acceptability_1_sept_2013_1,syntax,,mturk,english,1-5,496,9546,15,yes,0.983,0.921,,data/syntax/noisy_channel_acceptability_1_sept_2013_1
noisy_channel_acceptability_2_sept_2013,syntax,,mturk,english,1-5,380,23804,59,yes,0.99,0.965,,data/syntax/noisy_channel_acceptability_2_sept_2013
of_acceptability_2,syntax,,surveyor,english,1-5,88,3837,38,yes,0.956,0.951,,data/syntax/of_acceptability_2
orc_lauren_sentence_naturalness_survey_july_2012,syntax,,mturk,english,1-5,192,8605,29,yes,0.955,0.948,,data/syntax/orc_lauren_sentence_naturalness_survey_july_2012
p_p_sentence_naturalness_survey_aug_2010,syntax,,mturk,english,1-5,252,19122,32,yes,0.878,0.859,,data/syntax/p_p_sentence_naturalness_survey_aug_2010
p_p_sentence_naturalness_survey_dec_2009,syntax,,mturk,english,1-5,324,60653,108,yes,0.948,0.95,p_p_sentence_naturalness_survey_jan_2010;p_p_sentence_naturalness_survey_may_2013;p_p_sentence_naturalness_survey_may_2013_v2;sentence_naturalness_survey_for_formal_link,data/syntax/p_p_sentence_naturalness_survey_dec_2009
p_p_sentence_naturalness_survey_feb,syntax,,mturk,english,1-5,614,15402,16,yes,0.654,0.664,,data/syntax/p_p_sentence_naturalness_survey_feb
p_p_sentence_naturalness_survey_june_2013_v3,syntax,,mturk,english,1-5,242,19678,48,yes,0.929,0.928,,data/syntax/p_p_sentence_naturalness_survey_june_2013_v3
paris_judgments_3_dec_2012,syntax,,mturk,english,1-5,477,7714,14,yes,0.873,0.845,,data/syntax/paris_judgments_3_dec_2012
paris_judgments_dec_2012_1,syntax,,mturk,english,1-5,488,5085,10,yes,0.858,0.857,paris_judgments_2_dec_2012_1,data/syntax/paris_judgments_dec_2012_1
pascal_1_dec_2012,syntax,,mturk,non-english,1-5,544,6086,8,yes,0.042,0.066,,data/syntax/pascal_1_dec_2012
quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,syntax,,mturk,english,1-7,184,5247,15,yes,0.919,0.91,,data/syntax/quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code
quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,syntax,,mturk,english,1-7,168,8563,45,yes,0.975,0.96,,data/syntax/quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code
quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,syntax,,mturk,english,1-7,126,11065,100,yes,0.986,0.965,,data/syntax/quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code
quantifier_naturalness_survey_june_4_2010,syntax,,mturk,english,1-5,192,7463,20,yes,0.663,0.639,,data/syntax/quantifier_naturalness_survey_june_4_2010
quantitative_syntax_survey,syntax,,mturk,english,1-5,129,5803,39,yes,0.911,0.852,chomsky_items_1,data/syntax/quantitative_syntax_survey
rating_english_sentences,syntax,,surveyor,english,1-7,240,6281,22,yes,0.9,0.899,,data/syntax/rating_english_sentences
reasoning_and_language_tasks_survey_code_talkative_pigeon,syntax,,mturk,english,1-7,72,8590,90,yes,0.953,0.941,social_interaction_and_language_tasks_survey_code_talkative_pigeon,data/syntax/reasoning_and_language_tasks_survey_code_talkative_pigeon
relative_clause_displacements_in_english_sentences,syntax,,surveyor,english,1-5,180,897,5,yes,0.507,0.501,,data/syntax/relative_clause_displacements_in_english_sentences
relative_clause_displacements_in_english_sentences_with_fill,syntax,,surveyor,english,1-5,93,2673,22,yes,0.845,0.846,,data/syntax/relative_clause_displacements_in_english_sentences_with_fill
richard_islands_acceptability_expt_1_april_25_2013_3,syntax,,mturk,english,1-5,144,2856,10,yes,0.963,0.819,,data/syntax/richard_islands_acceptability_expt_1_april_25_2013_3
richard_islands_acceptability_expt_2_april_26_2013,syntax,,mturk,english,1-5,228,4731,10,yes,0.951,0.92,,data/syntax/richard_islands_acceptability_expt_2_april_26_2013
richard_islands_acceptability_expt_4_april_26_2013_1,syntax,,mturk,english,1-5,100,2058,10,yes,0.964,0.931,,data/syntax/richard_islands_acceptability_expt_4_april_26_2013_1
richard_islands_acceptability_expt_5_april_27_2013_1,syntax,,mturk,english,1-5,132,2060,9,yes,0.874,0.619,,data/syntax/richard_islands_acceptability_expt_5_april_27_2013_1
richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,syntax,,mturk,english,1-5,100,7211,35,yes,0.985,0.965,,data/syntax/richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl
russian_freezing,syntax,,surveyor,non-english,1-5,180,1503,8,yes,0.905,0.898,,data/syntax/russian_freezing
sentence_completions_and_islands_acceptability_expt_1_nov_13_2012,syntax,,mturk,english,1-5,112,13215,137,yes,0.984,0.969,,data/syntax/sentence_completions_and_islands_acceptability_expt_1_nov_13_2012
sentence_naturalness_isac_survey_feb_2011,syntax,,mturk,english,1-5,304,7641,12,yes,0.829,0.836,,data/syntax/sentence_naturalness_isac_survey_feb_2011
sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1,syntax,,mturk,english,1-5,176,6614,25,yes,0.867,0.886,sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1,data/syntax/sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1
sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20,syntax,,mturk,english,1-5,480,7152,15,yes,0.867,0.864,,data/syntax/sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20
sentence_naturalness_survey_acd_ratings_v4_july_13_2012,syntax,,mturk,english,1-5,176,8915,35,yes,0.776,0.748,sentence_naturalness_survey_acd_ratings_v2_jan_2012,data/syntax/sentence_naturalness_survey_acd_ratings_v4_july_13_2012
sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig,syntax,,mturk,english,1-7,200,31957,199,yes,0.992,0.986,,data/syntax/sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig
sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig,syntax,,mturk,english,1-7,224,31113,98,yes,0.986,0.972,,data/syntax/sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig
sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo,syntax,,mturk,english,1-7,120,4775,20,yes,0.917,0.912,,data/syntax/sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo
sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,syntax,,mturk,english,1-7,232,2556,5,yes,0.753,0.744,,data/syntax/sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo
sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,syntax,,mturk,english,1-7,84,1434,10,yes,0.809,0.757,,data/syntax/sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat
sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,syntax,,mturk,english,1-7,270,14329,46,yes,0.959,0.956,,data/syntax/sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown
short_acceptability_feb_6_2014,syntax,,mturk,english,1-5,128,2904,13,yes,0.928,0.907,,data/syntax/short_acceptability_feb_6_2014
susan_canonicity_rerunning_2,syntax,,surveyor,english,1-5,52,2864,59,yes,0.956,0.95,susan_canonicity_rerunning_3,data/syntax/susan_canonicity_rerunning_2
topicalization_e1,syntax,,surveyor,english,1-5,77,3733,49,yes,0.982,0.942,topicalization_e1_v2,data/syntax/topicalization_e1
tuckute2024_grammatical_well_formedness,syntax,,published,english,1-7,2000,0,,no,,,,data/syntax/tuckute2024_grammatical_well_formedness
verb_causality_study_syntax_ratings_mk_april_2010,syntax,,mturk,english,1-5,653,4628,4,yes,0.628,0.633,,data/syntax/verb_causality_study_syntax_ratings_mk_april_2010
verb_particle_ratings,syntax,,mturk,english,1-5,136,512,2,yes,0.716,0.66,,data/syntax/verb_particle_ratings
wm2_wm5_9_59_sentence_naturalness_survey_april_2011,syntax,,mturk,english,1-5,219,3348,11,yes,0.886,0.839,,data/syntax/wm2_wm5_9_59_sentence_naturalness_survey_april_2011
50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,sentence_semantics,plausibility,mturk,english,1-5,208,3053,15,yes,0.561,0.588,,data/sentence_semantics/50_sentences_with_2_comp_qs_plus_rating_mar_11_2011
aixiu_coherence_en_update1,sentence_semantics,plausibility,surveyor,english,1-7,277,2946,11,yes,0.893,0.882,,data/sentence_semantics/aixiu_coherence_en_update1
amouyal2024_plausibility,sentence_semantics,plausibility,published,english,1-7,853,17154,14,yes,0.947,0.915,,data/sentence_semantics/amouyal2024_plausibility
brief_sentence_naturalness_survey_march_2011,sentence_semantics,plausibility,mturk,english,1-5,64,1864,29,yes,0.99,0.96,,data/sentence_semantics/brief_sentence_naturalness_survey_march_2011
depth_charge_survey,sentence_semantics,plausibility,surveyor,english,1-7,188,3394,11,yes,0.843,0.846,,data/sentence_semantics/depth_charge_survey
