source,study,task,domain,subdomain,matched_on,is_fallback,n_items,n_ratings,has_individual,split_half_r
published,scott2018,scott2018_concreteness,Lexical: perceptual/motor,Imageability / concreteness / size,concrete,0,5553,185119,0,
published,scott2018,scott2018_dominance,Lexical: affective,Affective,dominance,0,5553,184579,0,
published,scott2018,scott2018_familiarity,Lexical: conceptual,Familiarity,familiar,0,5553,179710,0,
published,scott2018,scott2018_gender,Lexical: conceptual,Gender,gender,0,5553,184651,0,
published,scott2018,scott2018_imageability,Lexical: perceptual/motor,Imageability / concreteness / size,imageab,0,5553,184932,0,
published,scott2018,scott2018_size,Lexical: perceptual/motor,Imageability / concreteness / size,size,0,5553,184940,0,
published,scott2018,scott2018_valence,Lexical: affective,Affective,valence,0,5553,186247,0,
published,troche2014,troche2014_auditory,Lexical: perceptual/motor,Sensorimotor,auditory,0,751,15020,0,
published,troche2014,troche2014_color,Lexical: perceptual/motor,Sensorimotor,colou?r,0,751,15020,0,
published,troche2014,troche2014_emotion,Lexical: affective,Affective,emotion,0,751,16620,0,
published,troche2014,troche2014_morality,Lexical: affective,Affective,morality,0,751,16620,0,
published,troche2014,troche2014_motion_self,Lexical: perceptual/motor,Sensorimotor,motion,0,751,15020,0,
published,troche2014,troche2014_polarity,Lexical: affective,Affective,polarity,0,751,15820,0,
published,troche2014,troche2014_quantity,Lexical: conceptual,Conceptual / semantic,quantity,0,751,16220,0,
published,troche2014,troche2014_social_interaction,Lexical: conceptual,Social,social interaction,0,751,16220,0,
published,troche2014,troche2014_space,Lexical: perceptual/motor,Sensorimotor,space,0,751,17020,0,
published,troche2014,troche2014_tactile,Lexical: perceptual/motor,Sensorimotor,tactile,0,751,15020,0,
published,troche2014,troche2014_taste_smell,Lexical: perceptual/motor,Sensorimotor,taste,0,751,15771,0,
published,troche2014,troche2014_thought,Lexical: conceptual,Conceptual / semantic,thought,0,751,15420,0,
published,troche2014,troche2014_time,Lexical: conceptual,Conceptual / semantic,time,0,751,15820,0,
published,troche2014,troche2014_visual_form,Lexical: perceptual/motor,Sensorimotor,visual,0,751,15020,0,
published,tuckute2024,tuckute2024_arousal,Lexical: affective,Affective,arousal,0,2000,0,0,
published,tuckute2024,tuckute2024_conversational_frequency,Lexical: conceptual,Frequency,frequency,0,2000,0,0,
published,tuckute2024,tuckute2024_general_frequency,Lexical: conceptual,Frequency,frequency,0,2000,0,0,
published,tuckute2024,tuckute2024_grammatical_well_formedness,Syntax,Acceptability / naturalness,grammatical,0,2000,0,0,
published,tuckute2024,tuckute2024_imageability,Lexical: perceptual/motor,Imageability / concreteness / size,imageab,0,2000,0,0,
published,tuckute2024,tuckute2024_mental_states,Lexical: conceptual,Conceptual / semantic,mental states,0,2000,0,0,
published,tuckute2024,tuckute2024_physical_objects,Lexical: conceptual,Conceptual / semantic,physical objects,0,2000,0,0,
published,tuckute2024,tuckute2024_places,Lexical: conceptual,Conceptual / semantic,places,0,2000,0,0,
published,tuckute2024,tuckute2024_plausibility,Sentence semantics,Plausibility / coherence / discourse,plausib,0,2000,0,0,
published,tuckute2024,tuckute2024_valence,Lexical: affective,Affective,valence,0,2000,0,0,
published,warriner2013,warriner2013_arousal,Lexical: affective,Affective,arousal,0,13915,319684,0,
published,warriner2013,warriner2013_dominance,Lexical: affective,Affective,dominance,0,13915,338345,0,
published,warriner2013,warriner2013_valence,Lexical: affective,Affective,valence,0,13915,303520,0,
published,winter2017,winter2017_iconicity,Form (sub-lexical),Sound–meaning (iconicity),iconicity,0,3002,0,0,
published,winter2024,winter2024_iconicity,Form (sub-lexical),Sound–meaning (iconicity),iconicity,0,14776,158327,0,
surveyor,surveyor,acceptability_extension_959_v5,Syntax,Acceptability / naturalness,acceptab,0,566,2155,1,0.885
surveyor,surveyor,acceptability_replication_959,Syntax,Acceptability / naturalness,acceptab,0,288,2179,1,0.901
surveyor,surveyor,aixiu_coherence_en_update1,Sentence semantics,Plausibility / coherence / discourse,coheren,0,277,2946,1,0.872
surveyor,surveyor,base_acceptability_0908,Syntax,Acceptability / naturalness,acceptab,0,70,2090,1,0.933
surveyor,surveyor,base_acceptability_0911,Syntax,Acceptability / naturalness,acceptab,0,70,2157,1,0.87
surveyor,surveyor,can_noncan_acceptability_0924,Syntax,Acceptability / naturalness,acceptab,0,88,3836,1,0.958
surveyor,surveyor,can_noncan_acceptability_2,Syntax,Acceptability / naturalness,acceptab,0,88,3895,1,0.962
surveyor,surveyor,chinese_dative,Syntax,Acceptability / naturalness,acceptab,0,96,1200,1,0.78
surveyor,surveyor,class_demo,Syntax,Acceptability / naturalness,acceptab,0,44,491,1,0.916
surveyor,surveyor,clefting_e3,Syntax,Acceptability / naturalness,acceptab,0,48,1217,1,0.907
surveyor,surveyor,clefting_e4,Syntax,Acceptability / naturalness,acceptab,0,48,1195,1,0.85
surveyor,surveyor,clefting_e4_rep,Syntax,Acceptability / naturalness,acceptab,0,48,1197,1,0.896
surveyor,surveyor,clefting_e4_rep2,Syntax,Acceptability / naturalness,acceptab,0,48,4852,1,0.956
surveyor,surveyor,coherence_survey_list1_main,Sentence semantics,Plausibility / coherence / discourse,coheren,0,102,2035,1,0.977
surveyor,surveyor,coherence_survey_list2_main,Sentence semantics,Plausibility / coherence / discourse,coheren,0,102,2037,1,0.987
surveyor,surveyor,coherence_survey_list3_main,Sentence semantics,Plausibility / coherence / discourse,coheren,0,102,2025,1,0.985
surveyor,surveyor,coherence_survey_list4_main,Sentence semantics,Plausibility / coherence / discourse,coheren,0,102,2032,1,0.98
surveyor,surveyor,constituency_tests,Syntax,Acceptability / naturalness,acceptab,0,48,1246,1,0.663
surveyor,surveyor,constituency_tests_2,Syntax,Acceptability / naturalness,acceptab,0,48,1227,1,0.86
surveyor,surveyor,crossed_dependencies,Syntax,Acceptability / naturalness,acceptab,0,144,3672,1,0.93
surveyor,surveyor,crossed_dependencies_long,Syntax,Acceptability / naturalness,acceptab,0,192,3586,1,0.837
surveyor,surveyor,dative_alternation_extension_version_2,Syntax,Acceptability / naturalness,acceptab,0,229,2301,1,0.516
surveyor,surveyor,dative_finnish,Syntax,Acceptability / naturalness,acceptab,0,96,1199,1,0.692
surveyor,surveyor,dative_turkish,Syntax,Acceptability / naturalness,acceptab,0,96,1198,1,0.72
surveyor,surveyor,demo_9_59_2025,Syntax,Acceptability / naturalness,acceptab,0,44,259,1,0.885
surveyor,surveyor,demo_9_59_2026,Syntax,Acceptability / naturalness,acceptab,0,44,360,1,0.827
surveyor,surveyor,depth_charge_survey,Syntax,Acceptability / naturalness,acceptab,0,188,3394,1,0.846
surveyor,surveyor,depth_charge_with_noise,Syntax,Acceptability / naturalness,acceptab,0,188,3206,1,0.809
surveyor,surveyor,discourse_30subjs_list1,Sentence semantics,Plausibility / coherence / discourse,connected,0,102,3146,1,0.986
surveyor,surveyor,discourse_30subjs_list2,Sentence semantics,Plausibility / coherence / discourse,connected,0,102,2541,1,0.986
surveyor,surveyor,discourse_30subjs_list3,Sentence semantics,Plausibility / coherence / discourse,connected,0,102,3044,1,0.989
surveyor,surveyor,discourse_30subjs_list4,Sentence semantics,Plausibility / coherence / discourse,connected,0,102,3359,1,0.989
surveyor,surveyor,discourse_causality_list1,Sentence semantics,Plausibility / coherence / discourse,cause,0,102,3153,1,0.988
surveyor,surveyor,discourse_causality_list2,Sentence semantics,Plausibility / coherence / discourse,cause,0,102,2744,1,0.985
surveyor,surveyor,discourse_causality_list3,Sentence semantics,Plausibility / coherence / discourse,cause,0,102,2941,1,0.983
surveyor,surveyor,discourse_causality_list4,Sentence semantics,Plausibility / coherence / discourse,cause,0,102,3048,1,0.987
surveyor,surveyor,discourse_changed_0428,Sentence semantics,Plausibility / coherence / discourse,connected,0,50,1495,1,0.991
surveyor,surveyor,discourse_coherence_list1,Sentence semantics,Plausibility / coherence / discourse,sense,0,102,2851,1,0.991
surveyor,surveyor,discourse_coherence_list2,Sentence semantics,Plausibility / coherence / discourse,sense,0,102,3059,1,0.991
surveyor,surveyor,discourse_coherence_list3,Sentence semantics,Plausibility / coherence / discourse,sense,0,102,3051,1,0.993
surveyor,surveyor,discourse_coherence_list4,Sentence semantics,Plausibility / coherence / discourse,sense,0,102,2533,1,0.971
surveyor,surveyor,discourse_imagability_pairs_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3050,1,0.892
surveyor,surveyor,discourse_imagability_pairs_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3049,1,0.972
surveyor,surveyor,discourse_imagability_singles_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3055,1,0.951
surveyor,surveyor,discourse_imagability_singles_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3050,1,0.948
surveyor,surveyor,discourse_imagability_singles_list3,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3055,1,0.954
surveyor,surveyor,discourse_imagability_singles_list4,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3156,1,0.956
surveyor,surveyor,discourse_mentalizing_pairs_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3049,1,0.932
surveyor,surveyor,discourse_mentalizing_pairs_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3035,1,0.948
surveyor,surveyor,discourse_mentalizing_singles_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3053,1,0.939
surveyor,surveyor,discourse_mentalizing_singles_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3047,1,0.933
surveyor,surveyor,discourse_mentalizing_singles_list3,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3044,1,0.912
surveyor,surveyor,discourse_mentalizing_singles_list4,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3153,1,0.958
surveyor,surveyor,discourse_physics_pairs_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3051,1,0.965
surveyor,surveyor,discourse_physics_pairs_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3042,1,0.963
surveyor,surveyor,discourse_physics_singles_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3051,1,0.947
surveyor,surveyor,discourse_physics_singles_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3042,1,0.961
surveyor,surveyor,discourse_physics_singles_list3,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3044,1,0.951
surveyor,surveyor,discourse_physics_singles_list4,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3051,1,0.956
surveyor,surveyor,discourse_scenes_pairs_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3052,1,0.949
surveyor,surveyor,discourse_scenes_pairs_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3051,1,0.958
surveyor,surveyor,discourse_scenes_singles_list1,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3051,1,0.947
surveyor,surveyor,discourse_scenes_singles_list2,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3048,1,0.96
surveyor,surveyor,discourse_scenes_singles_list3,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3049,1,0.968
surveyor,surveyor,discourse_scenes_singles_list4,Sentence semantics,Plausibility / coherence / discourse,discourse,0,102,3050,1,0.971
surveyor,surveyor,european_portuguese_rc,Syntax,Acceptability / naturalness,acceptab,0,174,2849,1,0.858
surveyor,surveyor,european_portuguese_wh,Syntax,Acceptability / naturalness,acceptab,0,174,2744,1,0.888
surveyor,surveyor,extension,Syntax,Acceptability / naturalness,acceptab,0,138,1527,1,0.905
surveyor,surveyor,extension_study,Syntax,Acceptability / naturalness,acceptab,0,142,1073,1,0.645
surveyor,surveyor,gabriel_rc,Syntax,Acceptability / naturalness,acceptab,0,174,2794,1,0.887
surveyor,surveyor,gabriel_wh,Syntax,Acceptability / naturalness,acceptab,0,174,2912,1,0.89
surveyor,surveyor,huang_response_set1a,Syntax,Acceptability / naturalness,acceptab,0,288,14347,1,0.962
surveyor,surveyor,huang_response_set1b,Syntax,Acceptability / naturalness,acceptab,0,288,14358,1,0.963
surveyor,surveyor,huang_response_set2a,Syntax,Acceptability / naturalness,acceptab,0,288,14354,1,0.97
surveyor,surveyor,huang_response_set2a_declaratives,Syntax,Acceptability / naturalness,acceptab,0,288,14328,1,0.972
surveyor,surveyor,huang_response_set2b,Syntax,Acceptability / naturalness,acceptab,0,288,14324,1,0.978
surveyor,surveyor,huang_response_set2b_declaratives,Syntax,Acceptability / naturalness,acceptab,0,288,14364,1,0.973
surveyor,surveyor,italian_dative_v2,Syntax,Acceptability / naturalness,acceptab,0,192,1246,1,0.681
surveyor,surveyor,italian_locative_v7,Syntax,Acceptability / naturalness,acceptab,0,192,1198,1,0.691
surveyor,surveyor,lexical_frame_adjectives_likert_set1,Syntax,Acceptability / naturalness,acceptab,0,384,7668,1,0.825
surveyor,surveyor,lexical_frame_adjectives_likert_set2,Syntax,Acceptability / naturalness,acceptab,0,384,7646,1,0.703
surveyor,surveyor,lexical_frame_adjectives_likert_set3,Syntax,Acceptability / naturalness,acceptab,0,384,7643,1,0.862
surveyor,surveyor,locative_topicalization_survey,Syntax,Acceptability / naturalness,acceptab,0,229,2172,1,0.817
surveyor,surveyor,missing_vp_extension,Sentence semantics,Plausibility / coherence / discourse,comprehensib,0,80,3715,1,0.915
surveyor,surveyor,missing_vp_extension_0501_final,Sentence semantics,Plausibility / coherence / discourse,comprehensib,0,72,2159,1,0.674
surveyor,surveyor,missing_vp_rereplication,Sentence semantics,Plausibility / coherence / discourse,comprehensib,0,72,1151,1,0.614
surveyor,surveyor,montemayor_replication_acceptability_in_syntax,Syntax,Acceptability / naturalness,acceptab,0,288,2156,1,0.926
surveyor,surveyor,of_acceptability_2,Syntax,Acceptability / naturalness,acceptab,0,88,3837,1,0.958
surveyor,surveyor,rating_english_sentences,Syntax,Acceptability / naturalness,acceptab,0,240,6281,1,0.899
surveyor,surveyor,relative_clause_displacements_in_english_sentences,Sentence semantics,Plausibility / coherence / discourse,comprehensib,0,180,897,1,0.514
surveyor,surveyor,relative_clause_displacements_in_english_sentences_with_fill,Sentence semantics,Plausibility / coherence / discourse,comprehensib,0,93,2673,1,0.857
surveyor,surveyor,replication_study_9_59,Syntax,Acceptability / naturalness,acceptab,0,185,718,1,0.402
surveyor,surveyor,replication_v6,Syntax,Acceptability / naturalness,acceptab,0,288,1791,1,0.903
surveyor,surveyor,russian_freezing,Syntax,Acceptability / naturalness,acceptab,0,180,1503,1,0.891
surveyor,surveyor,susan_canonicity_rerunning,Syntax,Acceptability / naturalness,acceptab,0,48,1440,1,0.929
surveyor,surveyor,susan_canonicity_rerunning_2,Syntax,Acceptability / naturalness,acceptab,0,48,1436,1,0.913
surveyor,surveyor,susan_canonicity_rerunning_3,Syntax,Acceptability / naturalness,acceptab,0,48,1428,1,0.919
surveyor,surveyor,topicalization_e1,Syntax,Acceptability / naturalness,acceptab,0,76,2535,1,0.972
surveyor,surveyor,topicalization_e1_v2,Syntax,Acceptability / naturalness,acceptab,0,48,1198,1,0.801
surveyor,surveyor,topicalization_e2,Syntax,Acceptability / naturalness,acceptab,0,48,1195,1,0.406
mturk,mturk,2wh_3wh_sentence_naturalness_survey_april_2011,Syntax,Acceptability / naturalness,naturaln,0,152,4072,1,0.926
mturk,mturk,50_sentences_noisy_channel_may_25_2011,Syntax,Acceptability / naturalness,FALLBACK-default,1,208,3107,1,0.597
mturk,mturk,50_sentences_with_2_comp_qs_plus_rating_mar_11_2011,Syntax,Acceptability / naturalness,FALLBACK-default,1,208,3053,1,0.574
mturk,mturk,acceptability_judgments_kang,Syntax,Acceptability / naturalness,acceptab,0,136,5406,1,0.982
mturk,mturk,acd_context_polly_1_nov_23_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,225,28701,1,0.514
mturk,mturk,acd_no_context_polly_1_nov_23_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,213,21610,1,0.881
mturk,mturk,acd_project_also_2_nov_22_2012_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,448,3559,1,0.559
mturk,mturk,acd_project_also_3_nov_24_2012_2,Syntax,Acceptability / naturalness,FALLBACK-default,1,128,3338,1,0.893
mturk,mturk,acd_project_expt_23_also_nov_16_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,600,7136,1,0.77
mturk,mturk,acd_project_expt_24_same_diff_verbs_nov_16_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,472,21363,1,0.901
mturk,mturk,acd_project_expt_31_same_diff_verbs_nov_16_2012_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,176,3342,1,0.729
mturk,mturk,acd_project_expt_42_also_verbs_nov_29_2012_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,176,4049,1,0.8
mturk,mturk,acd_project_expt_44_the_same_nov_29_2012_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,140,2931,1,0.657
mturk,mturk,acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,Syntax,Acceptability / naturalness,FALLBACK-default,1,360,7023,1,0.761
mturk,mturk,acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,448,3524,1,0.569
mturk,mturk,active_passive_sentence_naturalness_survey_july_2012,Syntax,Acceptability / naturalness,naturaln,0,132,6624,1,0.948
mturk,mturk,agreement_norming_nov,Syntax,Acceptability / naturalness,FALLBACK-default,1,159,5649,1,0.856
mturk,mturk,alex_paunov_literal_inferences_dec_3_2011,Sentence semantics,Plausibility / coherence / discourse,inference,0,299,2979,1,0.944
mturk,mturk,animacy_passive_dative_kyle,Syntax,Acceptability / naturalness,FALLBACK-default,1,120,4649,1,0.926
mturk,mturk,anne_abeille_acceptability_july_12_2017_1,Syntax,Acceptability / naturalness,acceptab,0,296,4284,1,0.677
mturk,mturk,brief_sentence_naturalness_survey_march_2011,Syntax,Acceptability / naturalness,naturaln,0,64,1864,1,0.99
mturk,mturk,chomsky_items,Syntax,Acceptability / naturalness,FALLBACK-default,1,94,2344,1,0.94
mturk,mturk,copy_cat_polly_dec_2013_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,60,1597,1,0.965
mturk,mturk,copy_cat_polly_june_2014,Syntax,Acceptability / naturalness,FALLBACK-default,1,100,4783,1,0.958
mturk,mturk,copy_cat_polly_june_2014_v2_1,Syntax,Acceptability / naturalness,FALLBACK-default,1,90,1194,1,0.649
mturk,mturk,copy_of_verb_causality_study_semantics_ratings_mk_april_2010,Sentence semantics,Plausibility / coherence / discourse,causal,0,62,620,1,0.607
mturk,mturk,copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010,Sentence semantics,Plausibility / coherence / discourse,causal,0,62,619,1,0.624
mturk,mturk,copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010,Sentence semantics,Plausibility / coherence / discourse,causal,0,62,611,1,0.437
mturk,mturk,copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010,Sentence semantics,Plausibility / coherence / discourse,causal,0,62,620,1,0.649
mturk,mturk,cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,Syntax,Acceptability / naturalness,FALLBACK-default,1,60,6565,1,0.927
mturk,mturk,cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an,Syntax,Acceptability / naturalness,FALLBACK-default,1,60,4594,1,0.934
mturk,mturk,cul_jack_sentence_naturalness_survey_2_sept_2011,Syntax,Acceptability / naturalness,naturaln,0,220,15238,1,0.966
mturk,mturk,cul_jack_sentence_naturalness_survey_april_2010,Syntax,Acceptability / naturalness,naturaln,0,220,5026,1,0.925
mturk,mturk,disfluencies_sentence_naturalness_survey_april_2011,Syntax,Acceptability / naturalness,naturaln,0,144,3878,1,0.82
mturk,mturk,ecog_sentences_imaginability_jan_8_2014,Lexical: perceptual/motor,Imageability / concreteness / size,imaginab,0,120,4784,1,0.85
mturk,mturk,ecog_sentences_naturalness_jan_8_2014_2,Syntax,Acceptability / naturalness,naturaln,0,120,4441,1,0.904
mturk,mturk,erp_norming_error_detection_june_2013_4,Syntax,Acceptability / naturalness,FALLBACK-default,1,162,9545,1,-0.262
mturk,mturk,erp_sentence_naturalness_survey_june_2013_2,Syntax,Acceptability / naturalness,naturaln,0,484,10036,1,0.96
mturk,mturk,eunice_disfluency_2_nov_17_2011,Syntax,Acceptability / naturalness,FALLBACK-default,1,180,3536,1,0.741
mturk,mturk,eunice_disfluency_nov_15_2011,Syntax,Acceptability / naturalness,FALLBACK-default,1,468,6655,1,0.795
mturk,mturk,imperative_control_iad_gs_may_16_2011_purple_puppy,Syntax,Acceptability / naturalness,FALLBACK-default,1,49,2873,1,0.912
mturk,mturk,isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,Syntax,Acceptability / naturalness,naturaln,0,256,7649,1,0.86
mturk,mturk,isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra,Syntax,Acceptability / naturalness,naturaln,0,256,3063,1,0.824
mturk,mturk,islands_acceptability_expt_2_dec_2_2012,Syntax,Acceptability / naturalness,acceptab,0,480,5574,1,0.869
mturk,mturk,lauren_sentence_naturalness_survey_expt3_nov_17_2011,Syntax,Acceptability / naturalness,naturaln,0,460,7968,1,0.729
mturk,mturk,lauren_sentence_naturalness_survey_expt_2_nov_15_2011,Syntax,Acceptability / naturalness,naturaln,0,252,7121,1,0.899
mturk,mturk,lauren_sentence_naturalness_survey_oct_14_2011,Syntax,Acceptability / naturalness,naturaln,0,360,5318,1,0.79
mturk,mturk,massive_mem_arousal_mar_2013,Lexical: affective,Affective,arousal,0,2020,65008,1,0.899
mturk,mturk,massive_mem_arousal_mar_2013_end_2,Lexical: affective,Affective,arousal,0,242,7026,1,0.858
mturk,mturk,massive_mem_arousal_mar_2014,Lexical: affective,Affective,arousal,0,2015,63813,1,0.876
mturk,mturk,massive_mem_arousal_mar_2014_end_1,Lexical: affective,Affective,arousal,0,242,7149,1,0.899
mturk,mturk,massive_mem_concreteness_mar_2013,Lexical: perceptual/motor,Imageability / concreteness / size,concrete,0,2020,71679,1,0.958
mturk,mturk,massive_mem_concreteness_mar_2013_end_1,Lexical: perceptual/motor,Imageability / concreteness / size,concrete,0,242,7238,1,0.96
mturk,mturk,massive_mem_concreteness_mar_2014,Lexical: perceptual/motor,Imageability / concreteness / size,concrete,0,2019,64058,1,0.956
mturk,mturk,massive_mem_concreteness_mar_2014_end_1,Lexical: perceptual/motor,Imageability / concreteness / size,concrete,0,242,7229,1,0.954
mturk,mturk,massive_mem_familiarity_mar_2013,Lexical: conceptual,Familiarity,familiar,0,2020,64408,1,0.947
mturk,mturk,massive_mem_familiarity_mar_2013_end_1,Lexical: conceptual,Familiarity,familiar,0,242,7222,1,0.964
mturk,mturk,massive_mem_familiarity_mar_2014,Lexical: conceptual,Familiarity,familiar,0,2020,63880,1,0.961
mturk,mturk,massive_mem_familiarity_mar_2014_end_1,Lexical: conceptual,Familiarity,familiar,0,242,7174,1,0.964
mturk,mturk,massive_mem_imageability_mar_2013,Lexical: perceptual/motor,Imageability / concreteness / size,imageab,0,2020,71770,1,0.962
mturk,mturk,massive_mem_imageability_mar_2013_end_1,Lexical: perceptual/motor,Imageability / concreteness / size,imageab,0,242,7231,1,0.968
mturk,mturk,massive_mem_imageability_mar_2014,Lexical: perceptual/motor,Imageability / concreteness / size,imageab,0,2019,85823,1,0.948
mturk,mturk,massive_mem_imageability_mar_2014_end_1,Lexical: perceptual/motor,Imageability / concreteness / size,imageab,0,242,7233,1,0.969
mturk,mturk,massive_mem_valence_mar_2013,Lexical: affective,Affective,valence,0,2020,66485,1,0.969
mturk,mturk,massive_mem_valence_mar_2013_end_1,Lexical: affective,Affective,valence,0,242,7220,1,0.981
mturk,mturk,massive_mem_valence_mar_2014,Lexical: affective,Affective,valence,0,2018,63913,1,0.974
mturk,mturk,massive_mem_valence_mar_2014_end_1,Lexical: affective,Affective,valence,0,242,7220,1,0.975
mturk,mturk,melissa_short_naturalness_test,Syntax,Acceptability / naturalness,naturaln,0,24,1431,1,0.984
mturk,mturk,melissa_transitivity_semantics,Lexical: conceptual,Conceptual / semantic,semantic,0,102,1622,1,0.932
mturk,mturk,mk_alive_corpus_questionnaire,Syntax,Acceptability / naturalness,FALLBACK-default,1,286,1798,1,0.761
mturk,mturk,mk_goals_corpus_questionnaire,Syntax,Acceptability / naturalness,FALLBACK-default,1,286,1196,1,0.432
