"file","domain","language","preamble_chars","task_sentences","procedural_sentences","task_content_types","adds_content_beyond_current_instruction","notes"
"huang_response_set1b","syntax","english","131","Please read each question and rate it for how natural it sounds.","You will be presented with 288  different questions.","dimension_definition","no","S2 names the naturalness dimension but current instruction already covers it; PROCEDURAL S1 is an item-count/pacing statement."
"huang_response_set1a","syntax","english","131","Please read each question and rate it for how natural it sounds.","You will be presented with 288  different questions.","dimension_definition","no","S2 names the naturalness dimension but current instruction already covers it; PROCEDURAL S1 is an item-count/pacing statement."
"huang_response_set2a","syntax","english","131","Please read each question and rate it for how natural it sounds.","You will be presented with 288  different questions.","dimension_definition","no","S2 names the naturalness dimension but current instruction already covers it; PROCEDURAL S1 is an item-count/pacing statement."
"huang_response_set2b","syntax","english","131","Please read each question and rate it for how natural it sounds.","You will be presented with 288  different questions.","dimension_definition","no","S2 names the naturalness dimension but current instruction already covers it; PROCEDURAL S1 is an item-count/pacing statement."
"huang_response_set2a_declaratives","syntax","english","131","Please read each question and rate it for how natural it sounds.","You will be presented with 288  different questions.","dimension_definition","no","S2 names the naturalness dimension but current instruction already covers it; PROCEDURAL S1 is an item-count/pacing statement."
"huang_response_set2b_declaratives","syntax","english","131","Please read each question and rate it for how natural it sounds.","You will be presented with 288  different questions.","dimension_definition","no","S2 names the naturalness dimension but current instruction already covers it; PROCEDURAL S1 is an item-count/pacing statement."
"can_noncan_acceptability_2","syntax","english","154","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions.","","no",""
"can_noncan_acceptability_0924","syntax","english","154","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions.","","no",""
"of_acceptability_2","syntax","english","154","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions.","","no",""
"base_acceptability_0911","syntax","english","154","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions.","","no",""
"base_acceptability_0908","syntax","english","154","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions.","","no",""
"crossed_dependencies","syntax","english","310","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions. || We will reject users with error rates of 25% or larger. || Consequently if you cannot answer 75% of the questions correctly please do not fill out the survey.","","no",""
"crossed_dependencies_long","syntax","english","310","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions. || We will reject users with error rates of 25% or larger. || Consequently if you cannot answer 75% of the questions correctly please do not fill out the survey.","","no",""
"aixiu_coherence_en_update1","sentence_semantics","english","310","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions. || We will reject users with error rates of 25% or larger. || Consequently if you cannot answer 75% of the questions correctly please do not fill out the survey.","","no",""
"depth_charge_with_noise","syntax","english","310","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions. || We will reject users with error rates of 25% or larger. || Consequently if you cannot answer 75% of the questions correctly please do not fill out the survey.","","no",""
"class_demo","syntax","english","310","","Please read each sentence and then answer the question immediately following. || Please note that there are correct answers for many questions. || We will reject users with error rates of 25% or larger. || Consequently if you cannot answer 75% of the questions correctly please do not fill out the survey.","","no",""
"gabriel_wh","syntax","portuguese_br","186","","Por favor, leia cada frase e, em seguida, responda à pergunta imediatamente posterior. || Caso não responda corretamente a 75% das perguntas, por favor, não preencha a pesquisa.","","no",""
"european_portuguese_rc","syntax","portuguese_eu","186","","Por favor, leia cada frase e, em seguida, responda à pergunta imediatamente posterior. || Caso não responda corretamente a 75% das perguntas, por favor, não preencha a pesquisa.","","no",""
"gabriel_rc","syntax","portuguese_br","186","","Por favor, leia cada frase e, em seguida, responda à pergunta imediatamente posterior. || Caso não responda corretamente a 75% das perguntas, por favor, não preencha a pesquisa.","","no",""
"european_portuguese_wh","syntax","portuguese_eu","186","","Por favor, leia cada frase e, em seguida, responda à pergunta imediatamente posterior. || Caso não responda corretamente a 75% das perguntas, por favor, não preencha a pesquisa.","","no",""
"discourse_30subjs_list4","sentence_semantics","english","430","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","S2 explains that pairs were either genuinely connected or randomly matched, informing the connectedness construct; not restated in current per-item prompt. Final sentence mentions unscored practice trials."
"discourse_30subjs_list1","sentence_semantics","english","430","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","S2 explains that pairs were either genuinely connected or randomly matched, informing the connectedness construct; not restated in current per-item prompt. Final sentence mentions unscored practice trials."
"discourse_30subjs_list3","sentence_semantics","english","430","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","S2 explains that pairs were either genuinely connected or randomly matched, informing the connectedness construct; not restated in current per-item prompt. Final sentence mentions unscored practice trials."
"discourse_30subjs_list2","sentence_semantics","english","430","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","S2 explains that pairs were either genuinely connected or randomly matched, informing the connectedness construct; not restated in current per-item prompt. Final sentence mentions unscored practice trials."
"discourse_imagability_singles_list4","sentence_semantics","english","610","We would like you to rate each sentence according to how easy the content is to visualize (to form an image of what the sentences describe in your mind's eye) on a scale from 1 (very hard to visualize) to 7 (very easy to visualize). || For example, sentences like The cup is filled with fresh black coffee. or The girl looked up at the cloud-filled sky. have meanings that easily bring to mind an image, so you might rate them as a 6 or a 7. || In contrast, sentences like It seems unlikely to happen. or I did not get the gist of the idea. may not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low visualizability) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_imagability_singles_list1","sentence_semantics","english","610","We would like you to rate each sentence according to how easy the content is to visualize (to form an image of what the sentences describe in your mind's eye) on a scale from 1 (very hard to visualize) to 7 (very easy to visualize). || For example, sentences like The cup is filled with fresh black coffee. or The girl looked up at the cloud-filled sky. have meanings that easily bring to mind an image, so you might rate them as a 6 or a 7. || In contrast, sentences like It seems unlikely to happen. or I did not get the gist of the idea. may not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low visualizability) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_imagability_singles_list2","sentence_semantics","english","610","We would like you to rate each sentence according to how easy the content is to visualize (to form an image of what the sentences describe in your mind's eye) on a scale from 1 (very hard to visualize) to 7 (very easy to visualize). || For example, sentences like The cup is filled with fresh black coffee. or The girl looked up at the cloud-filled sky. have meanings that easily bring to mind an image, so you might rate them as a 6 or a 7. || In contrast, sentences like It seems unlikely to happen. or I did not get the gist of the idea. may not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low visualizability) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_imagability_singles_list3","sentence_semantics","english","610","We would like you to rate each sentence according to how easy the content is to visualize (to form an image of what the sentences describe in your mind's eye) on a scale from 1 (very hard to visualize) to 7 (very easy to visualize). || For example, sentences like The cup is filled with fresh black coffee. or The girl looked up at the cloud-filled sky. have meanings that easily bring to mind an image, so you might rate them as a 6 or a 7. || In contrast, sentences like It seems unlikely to happen. or I did not get the gist of the idea. may not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low visualizability) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_mentalizing_singles_list4","sentence_semantics","english","615","We would like you to rate each sentence according to how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like The woman wondered what made him jealous. or I was so angry that I hit the door. have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. || In contrast, sentences like A car drove into the parking garage. or Most of earth's surface is covered by water. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low mentalizing) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_mentalizing_singles_list1","sentence_semantics","english","615","We would like you to rate each sentence according to how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like The woman wondered what made him jealous. or I was so angry that I hit the door. have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. || In contrast, sentences like A car drove into the parking garage. or Most of earth's surface is covered by water. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low mentalizing) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_mentalizing_singles_list2","sentence_semantics","english","615","We would like you to rate each sentence according to how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like The woman wondered what made him jealous. or I was so angry that I hit the door. have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. || In contrast, sentences like A car drove into the parking garage. or Most of earth's surface is covered by water. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low mentalizing) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_mentalizing_singles_list3","sentence_semantics","english","615","We would like you to rate each sentence according to how much it made you think of other people's experiences, thoughts, beliefs, desires, and/or emotions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like The woman wondered what made him jealous. or I was so angry that I hit the door. have meanings that are related to other people's states of mind and emotions so you might rate them as a 6 or a 7. || In contrast, sentences like A car drove into the parking garage. or Most of earth's surface is covered by water. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (high and low mentalizing) with example sentences and example ratings are not present in the current per-item instruction at all."
"discourse_causality_list1","sentence_semantics","english","671","We will ask you to rate each pair of sentences based on the extent to which the events described by the first sentence (S1) cause the events described by the second sentence (S2), on a scale of 1 (no causal connection at all) to 7 (a clear causal connection). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the first sentence clearly causes the second, so you might rate it as a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. All of the leaves had fallen off of the trees. the first sentence does not cause the second, so you may rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (causal vs non-causal sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_causality_list4","sentence_semantics","english","671","We will ask you to rate each pair of sentences based on the extent to which the events described by the first sentence (S1) cause the events described by the second sentence (S2), on a scale of 1 (no causal connection at all) to 7 (a clear causal connection). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the first sentence clearly causes the second, so you might rate it as a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. All of the leaves had fallen off of the trees. the first sentence does not cause the second, so you may rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (causal vs non-causal sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_causality_list3","sentence_semantics","english","671","We will ask you to rate each pair of sentences based on the extent to which the events described by the first sentence (S1) cause the events described by the second sentence (S2), on a scale of 1 (no causal connection at all) to 7 (a clear causal connection). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the first sentence clearly causes the second, so you might rate it as a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. All of the leaves had fallen off of the trees. the first sentence does not cause the second, so you may rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (causal vs non-causal sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_causality_list2","sentence_semantics","english","671","We will ask you to rate each pair of sentences based on the extent to which the events described by the first sentence (S1) cause the events described by the second sentence (S2), on a scale of 1 (no causal connection at all) to 7 (a clear causal connection). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the first sentence clearly causes the second, so you might rate it as a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. All of the leaves had fallen off of the trees. the first sentence does not cause the second, so you may rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (causal vs non-causal sentence pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_coherence_list2","sentence_semantics","english","663","We will ask you to rate each pair of sentences based on whether the second sentence (S2) makes sense in the context of the first sentence (S1), on a scale of 1 (does not make any sense) to 7 (makes clear, logical sense). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the second sentence makes clear sense in the context of the first, so you might rate it a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. The blue fish have thicker scales. the second sentence does not make sense in the context of the first, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (coherent vs incoherent S1/S2 pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_coherence_list3","sentence_semantics","english","663","We will ask you to rate each pair of sentences based on whether the second sentence (S2) makes sense in the context of the first sentence (S1), on a scale of 1 (does not make any sense) to 7 (makes clear, logical sense). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the second sentence makes clear sense in the context of the first, so you might rate it a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. The blue fish have thicker scales. the second sentence does not make sense in the context of the first, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (coherent vs incoherent S1/S2 pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_coherence_list1","sentence_semantics","english","663","We will ask you to rate each pair of sentences based on whether the second sentence (S2) makes sense in the context of the first sentence (S1), on a scale of 1 (does not make any sense) to 7 (makes clear, logical sense). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the second sentence makes clear sense in the context of the first, so you might rate it a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. The blue fish have thicker scales. the second sentence does not make sense in the context of the first, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (coherent vs incoherent S1/S2 pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_coherence_list4","sentence_semantics","english","663","We will ask you to rate each pair of sentences based on whether the second sentence (S2) makes sense in the context of the first sentence (S1), on a scale of 1 (does not make any sense) to 7 (makes clear, logical sense). || For example, in the pair Sam knocked the glass off of the table. The glass shattered on the hardwood floor. the second sentence makes clear sense in the context of the first, so you might rate it a 6 or a 7. || In contrast, in the pair Jessica woke up early this morning. The blue fish have thicker scales. the second sentence does not make sense in the context of the first, so you might rate it as a 1 or a 2.","You will read 100 sentence pairs.","dimension_definition;examples;scale_anchoring","yes","Worked examples (coherent vs incoherent S1/S2 pairs) with example ratings are not present in the current per-item instruction at all."
"discourse_physics_singles_list1","sentence_semantics","english","624","We would like you to rate each sentence according to how much it made you think of physical objects and/or physical interactions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like A few rows of bookshelves came tumbling down. or There were several large boxes on the floor. have meanings that are related to physical objects and/or physical interactions, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or The US justice system consists of three branches of government. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (physical vs non-physical content) with example ratings are not present in the current per-item instruction at all."
"discourse_physics_singles_list2","sentence_semantics","english","624","We would like you to rate each sentence according to how much it made you think of physical objects and/or physical interactions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like A few rows of bookshelves came tumbling down. or There were several large boxes on the floor. have meanings that are related to physical objects and/or physical interactions, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or The US justice system consists of three branches of government. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (physical vs non-physical content) with example ratings are not present in the current per-item instruction at all."
"discourse_physics_singles_list3","sentence_semantics","english","624","We would like you to rate each sentence according to how much it made you think of physical objects and/or physical interactions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like A few rows of bookshelves came tumbling down. or There were several large boxes on the floor. have meanings that are related to physical objects and/or physical interactions, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or The US justice system consists of three branches of government. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (physical vs non-physical content) with example ratings are not present in the current per-item instruction at all."
"discourse_physics_singles_list4","sentence_semantics","english","624","We would like you to rate each sentence according to how much it made you think of physical objects and/or physical interactions on a scale from 1 (not at all) to 7 (very much). || For example, sentences like A few rows of bookshelves came tumbling down. or There were several large boxes on the floor. have meanings that are related to physical objects and/or physical interactions, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or The US justice system consists of three branches of government. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (physical vs non-physical content) with example ratings are not present in the current per-item instruction at all."
"discourse_scenes_singles_list1","sentence_semantics","english","581","We would like you to rate each sentence according to how much it made you think of places, natural scenes and/or environments on a scale from 1 (not at all) to 7 (very much). || For example, sentences like There are several tall trees in the backyard. or They walked to the end of the hallway. have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or Wool is a type of textile fiber. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (scene-related vs non-scene content) with example ratings are not present in the current per-item instruction at all."
"discourse_scenes_singles_list2","sentence_semantics","english","581","We would like you to rate each sentence according to how much it made you think of places, natural scenes and/or environments on a scale from 1 (not at all) to 7 (very much). || For example, sentences like There are several tall trees in the backyard. or They walked to the end of the hallway. have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or Wool is a type of textile fiber. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (scene-related vs non-scene content) with example ratings are not present in the current per-item instruction at all."
"discourse_scenes_singles_list3","sentence_semantics","english","581","We would like you to rate each sentence according to how much it made you think of places, natural scenes and/or environments on a scale from 1 (not at all) to 7 (very much). || For example, sentences like There are several tall trees in the backyard. or They walked to the end of the hallway. have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or Wool is a type of textile fiber. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (scene-related vs non-scene content) with example ratings are not present in the current per-item instruction at all."
"discourse_scenes_singles_list4","sentence_semantics","english","581","We would like you to rate each sentence according to how much it made you think of places, natural scenes and/or environments on a scale from 1 (not at all) to 7 (very much). || For example, sentences like There are several tall trees in the backyard. or They walked to the end of the hallway. have meanings that are related to places, natural scenes and/or environments, so you might rate them as a 6 or a 7. || In contrast, sentences like You are very attentive and curious. or Wool is a type of textile fiber. do not, so you might rate them as a 1 or a 2.","You will read 100 sentences.","dimension_definition;examples;scale_anchoring","yes","Worked examples (scene-related vs non-scene content) with example ratings are not present in the current per-item instruction at all."
"coherence_survey_list1_main","sentence_semantics","english","447","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","Same 'connected vs randomly paired' framing and practice-trial mention as the discourse_30subjs family (group 5)."
"coherence_survey_list2_main","sentence_semantics","english","447","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","Same 'connected vs randomly paired' framing and practice-trial mention as the discourse_30subjs family (group 5)."
"coherence_survey_list3_main","sentence_semantics","english","447","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","Same 'connected vs randomly paired' framing and practice-trial mention as the discourse_30subjs family (group 5)."
"coherence_survey_list4_main","sentence_semantics","english","447","Some pairs are connected and in others, sentences are randomly paired. || We want you to decide how strongly the two sentences in each pair are connected and likely to occur in a sequence, from 1 (not connected, unlikely to occur in a sequence) to 5 (strongly connected, very likely to occur in a sequence).","In this study, you will read 100 sentence pairs. || We'll start with two practice questions before moving on to the main trials.","dimension_definition;scale_anchoring","yes","Same 'connected vs randomly paired' framing and practice-trial mention as the discourse_30subjs family (group 5)."
"missing_vp_extension","sentence_semantics","english","544","In this study you will be reading complex sentences and rating how understandable they are. || When rating, please read the sentence once and then rate the sentence on the basis of your first impression. || You will have to rate each sentence based on how understandable it is on a scale from 1 to 5, where 1 is easy to understand and 5 is hard to understand.","Please rate the sentences to the best of your ability. || We care about the ratings of these sentences, and we will reject participants that do not rate sentences accurately.","dimension_definition;judgment_guidance;scale_anchoring","yes","Judgment guidance ('read once', rate on first impression) is absent from the terse current instruction; scale endpoints (1=easy,5=hard) are restated, not new."
"missing_vp_rereplication","sentence_semantics","english","544","In this study you will be reading complex sentences and rating how understandable they are. || When rating, please read the sentence once and then rate the sentence on the basis of your first impression. || You will have to rate each sentence based on how understandable it is on a scale from 1 to 5, where 1 is easy to understand and 5 is hard to understand.","Please rate the sentences to the best of your ability. || We care about the ratings of these sentences, and we will reject participants that do not rate sentences accurately.","dimension_definition;judgment_guidance;scale_anchoring","yes","Judgment guidance ('read once', rate on first impression) is absent from the terse current instruction; scale endpoints (1=easy,5=hard) are restated, not new."
"italian_locative_v7","syntax","italian","426","Per favore, leggi ciascuna frase, valuta quanto suona naturale e poi rispondi alla domanda immediatamente successiva.","Ti informiamo che questo esperimento è rivolto a parlanti nativi di italiano; se non sei un parlante nativo, ti chiediamo di non compilare il questionario. || (Please note that this experiment is for native speakers of Italian, so if you are not a native speaker please do not fill out the survey.)","dimension_definition","no","English parenthetical gloss of the native-speaker eligibility criterion is duplicated verbatim inside the Italian preamble (bilingual instructions)."
"italian_dative_v2","syntax","italian","426","Per favore, leggi ciascuna frase, valuta quanto suona naturale e poi rispondi alla domanda immediatamente successiva.","Ti informiamo che questo esperimento è rivolto a parlanti nativi di italiano; se non sei un parlante nativo, ti chiediamo di non compilare il questionario. || (Please note that this experiment is for native speakers of Italian, so if you are not a native speaker please do not fill out the survey.)","dimension_definition","no","English parenthetical gloss of the native-speaker eligibility criterion is duplicated verbatim inside the Italian preamble (bilingual instructions)."
"relative_clause_displacements_in_english_sentences_with_fill","sentence_semantics","english","693","For each sentence, indicate your reaction to the sentence by selecting a number from (1) to (5). || Select (5) for sentences that seem fully normal and understandable to you. || Select (1) for sentences that seem odd, awkward or difficult for you to understand. || If you think, the sentences are somewhere between these extremes, use one fo the middle responses from (2) to (4). || Please note that there are no right or wrong answers for the questions. || Select your responses using the entire scale, solely on your gut reaction, not on the rules you may have learned about what is ""proper"" or ""correct"" English.","Please read each sentence and then answer the question immediately following.","judgment_guidance;scale_anchoring","yes","Rich scale-anchor language (bipolar 1='fully normal and understandable' vs 5='odd, awkward or difficult') and explicit judgment guidance ('no right or wrong answers', 'gut reaction, not... proper/correct English rules') are collapsed to bare 1=Bad/5=Good in the current instruction, with the explicit guidance dropped entirely. This wording overtly contradicts other syntax surveys in the corpus that warn 'there are correct answers for many questions' (e.g. group 2/3)."
"relative_clause_displacements_in_english_sentences","sentence_semantics","english","693","For each sentence, indicate your reaction to the sentence by selecting a number from (1) to (5). || Select (5) for sentences that seem fully normal and understandable to you. || Select (1) for sentences that seem odd, awkward or difficult for you to understand. || If you think, the sentences are somewhere between these extremes, use one fo the middle responses from (2) to (4). || Please note that there are no right or wrong answers for the questions. || Select your responses using the entire scale, solely on your gut reaction, not on the rules you may have learned about what is ""proper"" or ""correct"" English.","Please read each sentence and then answer the question immediately following.","judgment_guidance;scale_anchoring","yes","Rich scale-anchor language (bipolar 1='fully normal and understandable' vs 5='odd, awkward or difficult') and explicit judgment guidance ('no right or wrong answers', 'gut reaction, not... proper/correct English rules') are collapsed to bare 1=Bad/5=Good in the current instruction, with the explicit guidance dropped entirely. This wording overtly contradicts other syntax surveys in the corpus that warn 'there are correct answers for many questions' (e.g. group 2/3)."
