dataset,domain,status,type,severity,verified,verify_note,fixable_from_raw,description,evidence,proposed_fix,missing_info
cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,mturk,issues,underspecified_dimension,medium,,,no,"Neither raw Title/Description nor any raw column name (Answer.Rating, Answer.YNQ1_/YNQ2_, Input.question_1_/2_) states what the 1-7 'Rating' measures. The generic instruction 'Rate the passage.' cannot be confirmed correct or replaced with a better grounded instruction from raw data alone.","Raw Title/Description = '54 short texts with two comprehension questions and a rating. CODENAME: EFFICIENT LIZARD'. Raw column prefixes: Answer.Rating, Answer.YNQ1_/YNQ2_, Input.question_1_/2_, Input.trial_1_/2_ -- none names the dimension. Scale check: raw and converted ratings both range 1-7.",,The original HIT question/scale HTML (not in the MTurk export) or the study design doc from the source lab ('cul jack' = Culicover & Jackendoff) would be needed to identify what the rating measured.
cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions_i.txt line 2.,,
cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an,mturk,issues,underspecified_dimension,medium,,,no,"Same issue as the sibling dataset: raw export gives no textual label for what the 'Rating' measures. This folder is named '60 short texts' but its raw Title/Description text is literally identical to the sibling '54 short texts' folder's, showing these labels aren't reliable for the dimension.","Raw Title/Description = '54 short texts with two comprehension questions and a rating. CODENAME: EFFICIENT LIZARD' (verbatim same as the 54-text sibling, despite this being the '60 short texts' folder). Same column structure. Converted individual_ratings range 1-7 matching stated scale.",,Original HIT question/scale HTML or study design document from the source lab; not present in the MTurk export.
cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an_i.txt line 2.,,
cul_jack_sentence_naturalness_survey_2_sept_2011,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/cul_jack_sentence_naturalness_survey_2_sept_2011_i.txt line 2.,,
cul_jack_sentence_naturalness_survey_april_2010,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/cul_jack_sentence_naturalness_survey_april_2010_i.txt line 2.,,
disfluencies_sentence_naturalness_survey_april_2011,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/disfluencies_sentence_naturalness_survey_april_2011_i.txt line 2.,,
ecog_sentences_imaginability_jan_8_2014,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/ecog_sentences_imaginability_jan_8_2014_i.txt line 2.,,
ecog_sentences_naturalness_jan_8_2014_2,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the literal text '(scale inferred from observed responses)' (known global issue).,instructions/ecog_sentences_naturalness_jan_8_2014_2_i.txt line 2.,,
p_p_sentence_naturalness_survey_dec_2009,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/p_p_sentence_naturalness_survey_dec_2009_i.txt line 2,,
p_p_sentence_naturalness_survey_feb,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/p_p_sentence_naturalness_survey_feb_i.txt line 2,,
p_p_sentence_naturalness_survey_jan_2010,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/p_p_sentence_naturalness_survey_jan_2010_i.txt line 2,,
p_p_sentence_naturalness_survey_june_2013_v3,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/p_p_sentence_naturalness_survey_june_2013_v3_i.txt line 2,,
p_p_sentence_naturalness_survey_may_2013,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/p_p_sentence_naturalness_survey_may_2013_i.txt line 2,,
p_p_sentence_naturalness_survey_may_2013_v2,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,mturk_norms/instructions/p_p_sentence_naturalness_survey_may_2013_v2_i.txt line 2,,
presup_survey_1_acd_july_2012,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,,,
presup_survey_1_acd_july_2012,mturk,issues,unverifiable_dimension,medium,,,no,Instruction says maximally generic 'Rate the sentence.' with no way to confirm the actual rated dimension from raw data; Title/Description name no dimension at all.,Title/Description in 2012-07-07_Batch_846458.csv: '60 sentences followed by a question and a rating. CODENAME: PSYCHEDELIC EGGPLANT'; Answer columns are bare 'Answer.Rating1'..'Answer.Rating60' with no label text.,,Original HIT question/scale HTML (not present in MTurk export) needed to recover the exact rating-question wording shown to workers.
presup_survey_2_acd_july_2012,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,,,
presup_survey_2_acd_july_2012,mturk,issues,unverifiable_dimension,medium,,,no,Same generic 'Rate the sentence.' instruction with no raw-data evidence for what dimension was actually rated.,Title/Description in 2012-07-07_Batch_846750.csv: '60 sentences followed by a question and a rating. CODENAME: PSYCHEDELIC EGGPLANT'; Answer.Rating1..60 with no label.,,Original HIT question/scale HTML needed to recover exact rating-question wording.
presup_survey_3_acd_july_2012,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,,,
presup_survey_3_acd_july_2012,mturk,issues,unverifiable_dimension,medium,,,no,"Generic 'Rate the sentence.' instruction, dimension not confirmable from raw. Notably a separate Answer.Plaus (plausibility) column exists in the same batch and was NOT used to build this dataset, which argues against 'Rating' itself meaning plausibility but does not confirm what it does mean.","2012-07-18_Batch_858676.csv Answer column prefixes: ['Answer.English','Answer.Plaus','Answer.Rating','Answer.YNQ1_','Answer.country']; both Plaus1..60 (3590 non-null) and Rating1..60 (3591 non-null, matching a_index n_ratings=3591) populated for all 60 rows.",,Original HIT question/scale HTML needed to recover exact wording of both the 'Rating' and 'Plaus' questions.
presup_survey_3_acd_july_2012,mturk,issues,unused_raw_dimension,low,,,partial,"A complete second rating dimension (plausibility, Answer.Plaus1..60) was collected in the raw batch for the same 60 ACD sentences but was never extracted into any mturk_norms dataset.","Answer.Plaus1..Plaus60 in 2012-07-18_Batch_858676.csv, e.g. values [2,4,5,1,3], 60/60 rows populated, distinct from and non-identical to Answer.Rating1..60.",,"A companion dataset could be built directly from this raw column, but its precise dimension label/instructions still require the original HIT HTML."
pronouns_following_verbs,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,,,
pronouns_following_verbs,mturk,issues,wrong_or_generic_dimension,high,True,,partial,"Instruction says 'Rate the sentence' (1-3, styled as a generic acceptability-like rating), but raw data shows this is a pronoun-coreference-resolution forced-choice/Likert judgment ('who does the pronoun refer to'), not a sentence quality rating.","2009-11-03_Batch_134798.csv: Input.sent1='David wakes Joshua because he is a hine', Input.q1='Who is the hine?', Input.1name1='David', Input.1name2='Joshua'; Answer.Rating1 values in {1,2,3}. Raw Title/Description = 'Brief English-language survey' / '40 simple sentences followed by a question' (no mention of 'rating' or any sentence-quality dimension).","Read the sentence. The pronoun ('he'/'she') could refer to either the first-mentioned or the second-mentioned person in the sentence. Indicate who you think the pronoun most likely refers to.
Answer with one number: 1 = the first-mentioned person, 2 = unclear / could be either, 3 = the second-mentioned person.

<<{sentence}>>","Exact 1-3 -> referent mapping (which number = which referent, meaning of '2') and literal on-screen question wording require the original HIT HTML, not present in the export."
pronouns_following_verbs_an,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,,,
pronouns_following_verbs_an,mturk,issues,wrong_or_generic_dimension,high,True,,partial,Same mislabeling as pronouns_following_verbs: 'Rate the sentence' 1-3 disguises a subject-vs-object pronoun-coreference forced-choice judgment. Here raw data is unambiguous since the two answer options are literally labelled 'subject'/'object'.,"2009-11-30_Batch_149771.csv: Input.sent1='Chris stopped Jason and he drazened', Input.q1='Which one drazened?', Input.1ans1='subject', Input.1ans2='object'; Answer.Rating in {1,2,3}. Title/Description = 'Brief English-language survey' / '40 simple sentences followed by a question'.","Read the sentence. The pronoun ('he'/'she') could refer to either the subject or the object of the first clause. Indicate who you think the pronoun refers to.
Answer with one number: 1 = the subject, 2 = unclear / could be either, 3 = the object.

<<{sentence}>>",Exact 1-3 -> subject/object/unclear numeric mapping and literal on-screen wording require original HIT HTML.
pronouns_following_verbs_an_2,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains literal text '(scale inferred from observed responses)'.,,,
pronouns_following_verbs_an_2,mturk,issues,wrong_or_generic_dimension,high,True,,partial,Same subject/object pronoun-coreference forced-choice task mislabeled as generic sentence rating; identical evidence base as pronouns_following_verbs_an.,"2009-11-30_Batch_149768.csv/149773.csv/149775.csv: Input.sent1 e.g. 'David woke Joshua and he hined', Input.q1='Which one hined?', Input.1ans1/Input.1ans2='subject'/'object' (order varies by batch); Answer.Rating in {1,2,3}. Title/Description = 'Brief English-language survey' / '40 simple sentences followed by a question'.","Read the sentence. The pronoun ('he'/'she') could refer to either the subject or the object of the first clause. Indicate who you think the pronoun refers to.
Answer with one number: 1 = the subject, 2 = unclear / could be either, 3 = the object.

<<{sentence}>>",Exact 1-3 -> subject/object/unclear mapping and literal on-screen wording require original HIT HTML.
pronouns_following_verbs_ce,mturk,issues,ambiguous_rating_target,high,True,,no,"Instruction 'Rate the sentence' presumes 1-3 Answer.Rating is a sentence property, but each item also has a paired forced-choice pronoun-referent YNQ, and raw metadata names no dimension for Rating. Cross-tab shows Rating is not just a recode of the YNQ answer, so it could be a confidence rating instead of a sentence judgment.","Input.sent1='Robert followed Luis because he was a pilk'; Input.q1='Who is the pilk?' (2 named options). Rating1 {1,2,3} not deterministically related to YNQ1 {subject,object}. Title/Description (both batches): 'Brief English-language survey'/'40 simple sentences followed by a question', no dimension mentioned.",,"Original HIT HTML/template defining the Rating question text/labels (raw CSV exposes only bare Answer.RatingN values, unlike Answer.YNQN which has Input.qN text)."
pronouns_following_verbs_ce_2,mturk,issues,ambiguous_rating_target,high,True,,no,"Same design/finding as pronouns_following_verbs_ce (distinct raw folder 'pronouns following verbs - ce' with leading space): 1-3 Rating paired per-item with a forced-choice pronoun-referent YNQ, raw metadata names no dimension.","Raw Title='Brief English-language survey', Description='40 simple sentences followed by a question' (both batch files). Item structure identical to pronouns_following_verbs_ce.",,Original HIT HTML/template defining the Rating question text/labels.
pronouns_following_verbs_sm,mturk,issues,ambiguous_rating_target,high,True,,no,Same design/finding as pronouns_following_verbs_ce: 1-3 Rating paired per-item with a forced-choice pronoun-referent YNQ; raw metadata names no dimension.,"Raw Title='Brief English-language survey', Description='40 simple sentences followed by a question' (all 4 batch files). Units '...and similarly he/she Xed'; same paired Rating/YNQ item design.",,Original HIT HTML/template defining the Rating question text/labels.
pronouns_following_verbs_so,mturk,issues,ambiguous_rating_target,high,True,,no,Same design/finding as pronouns_following_verbs_ce: 1-3 Rating paired per-item with a forced-choice pronoun-referent YNQ; raw metadata names no dimension.,"Raw Title='Brief English-language survey', Description='40 simple sentences followed by a question' (batch 150210). Units '...and so he/she Xed'; same paired Rating/YNQ design.",,Original HIT HTML/template defining the Rating question text/labels.
pronouns_following_verbs_so_2,mturk,issues,ambiguous_rating_target,high,True,,no,Same design/finding as pronouns_following_verbs_ce (distinct raw folder 'pronouns following verbs - so' with leading space): 1-3 Rating paired per-item with a forced-choice pronoun-referent YNQ; raw metadata names no dimension.,"Raw Title='Brief English-language survey', Description='40 simple sentences followed by a question' (3 batch files). Same paired Rating/YNQ design as other pronoun sets.",,Original HIT HTML/template defining the Rating question text/labels.
pronouns_following_verbs_ve,mturk,issues,ambiguous_rating_target,high,True,,no,Same design/finding as pronouns_following_verbs_ce: 1-3 Rating paired per-item with a forced-choice pronoun-referent YNQ; raw metadata names no dimension.,"Raw Title='Brief English-language survey', Description='40 simple sentences followed by a question' (all 4 batch files). Units '...although he/she was a X'; same paired Rating/YNQ design.",,Original HIT HTML/template defining the Rating question text/labels.
quantitative_syntax_survey,mturk,issues,wrong_or_generic_dimension,high,True,,partial,"Instruction says 'Rate the passage.' but raw Description explicitly calls this 'a sentence rating' — participants rated the final target sentence, with the context paragraph serving only as background before 2 comprehension Y/N questions. Framing the merged blob as 'the passage' risks the LLM judging paragraph coherence instead of the actual target (often a complex multi-wh-question) sentence.","Raw Description (10 files): '37 short paragraphs followed by questions and a sentence rating'. Verified converted unit = Input.context{i}+' '+Input.sent{i} (exact whitespace-normalized match, Batch_101300 row0 slot22). Answer.RatingN pairs 1:1 with Input.sentN only.","Read the passage below, then rate the final sentence.
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{sentence}>>","Original HIT HTML would show if the target sentence was visually separated from context, and the exact dimension label (acceptability/naturalness/grammaticality), none of which is in raw CSV metadata."
quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code,mturk,issues,overlapping_stimuli_across_datasets,medium,,,yes,Not an independent stimulus sample: shares 143/168 items with quant_syn_april_14 and 48/126 with quant_syn_april_16 (same study run on 3 different April-2012 days). Pooling ratings across these files without dedup by sentence text double/triple-counts many items.,Set overlap of converted 'unit' columns: april_13(184) ∩ april_14(168) = 143; april_13 ∩ april_16(126) = 48. E.g. 'Alice tried to figure out who Monica offered a pencil to.' is unit #0 in all three files.,,
quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code,mturk,issues,overlapping_stimuli_across_datasets,medium,,,yes,"Shares 143/168 items with quant_syn_april_13 and 48/168 with quant_syn_april_16 — same underlying item pool collected across three days, not independent samples.",Set overlap computed on converted 'unit' columns: 143 shared with april_13; 48 shared with april_16.,,
quant_syn_april_16_2012_36_sentences_with_a_question_and_a_rating_code,mturk,issues,overlapping_stimuli_across_datasets,medium,,,yes,"Shares 48/126 items with both quant_syn_april_13 and quant_syn_april_14 — same underlying item pool collected across three days, not independent samples.",Set overlap computed on converted 'unit' columns: 48 shared with april_13; 48 shared with april_14.,,
richard_islands_acceptability_expt_1_april_25_2013_3,mturk,ok,prompt_meta_leak,low,,,yes,Instruction contains the known leaked meta text '(scale inferred from observed responses)'.,richard_islands_acceptability_expt_1_april_25_2013_3_i.txt line 2.,,
richard_islands_acceptability_expt_2_april_26_2013,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,richard_islands_acceptability_expt_2_april_26_2013_i.txt line 2.,,
richard_islands_acceptability_expt_4_april_26_2013_1,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,richard_islands_acceptability_expt_4_april_26_2013_1_i.txt line 2.,,
richard_islands_acceptability_expt_5_april_27_2013_1,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,richard_islands_acceptability_expt_5_april_27_2013_1_i.txt line 2.,,
richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,richard_islands_acceptability_expt_6_april_28_2013_while_whq_decl_i.txt line 2.,,
semantics1_finalproject,mturk,issues,prompt_meta_leak,low,,,yes,Known leaked meta text present.,semantics1_finalproject_i.txt line 2.,,
semantics1_finalproject,mturk,issues,vague_dimension_wording,low,,,partial,"Instruction 'Rate the sentence on its meaning' is vague; raw metadata names no dimension so it cannot be called factually wrong, but the observed rating pattern (e.g. 'All beavers build dams.' mean=4.5 vs 'All beavers build skyscrapers.' mean=1.02) indicates the actual construct is plausibility/truth of generic statements, not 'meaning' broadly.","Converted item 'All beavers build skyscrapers.' mean=1.02 vs 'All beavers build dams.' mean=4.5, individual_ratings mostly [1,1,1,...] vs [5,4,5,...].","How plausible is the sentence?
Rate on a scale from 1 to 5, where 1 = not at all plausible and 5 = very plausible. (scale inferred from observed responses)
Answer with one number.

<<{sentence}>>",Original HIT question/scale-label HTML needed to confirm the exact intended construct (plausibility vs. truthfulness vs. agreement).
semantics2_finalproject,mturk,issues,prompt_meta_leak,low,,,yes,Known leaked meta text present.,semantics2_finalproject_i.txt line 2.,,
semantics2_finalproject,mturk,issues,vague_dimension_wording,low,,,partial,"Same generic 'on its meaning' wording as semantics1_finalproject (same survey family, same instruction template); raw Title/Description again name no dimension.","Item 'Alaska is always hot.' mean=1.26 (individual_ratings almost all 1s) vs 'Alaska is always cold.' mean=3.45, showing a plausibility/truth-value pattern rather than generic 'meaning'.","How plausible is the sentence?
Rate on a scale from 1 to 5, where 1 = not at all plausible and 5 = very plausible. (scale inferred from observed responses)
Answer with one number.

<<{sentence}>>",Original HIT question/scale-label HTML needed to confirm exact intended construct.
semantics3_final_project,mturk,issues,prompt_meta_leak,low,,,yes,Known leaked meta text present.,semantics3_final_project_i.txt line 2.,,
semantics3_final_project,mturk,issues,vague_dimension_wording,low,,,partial,'Rate the passage on its meaning' is vague; raw metadata names no dimension. Sample items (e.g. juice-into-flower-pot mean=1.52 vs juice-into-plastic-cup mean=4.59) suggest the actual construct is plausibility/coherence of the two-sentence scenario.,Converted item 'Alex poured himself some juice. He poured the juice into a flower pot.' mean=1.52 vs '...into a plastic cup.' mean=4.5859.,"How plausible is the passage?
Rate on a scale from 1 to 5, where 1 = not at all plausible and 5 = very plausible. (scale inferred from observed responses)
Answer with one number.

<<{sentence}>>",Original HIT question/scale-label HTML needed to confirm exact intended construct.
sentence_completions_and_islands_acceptability_expt_1_nov_13_2012,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,sentence_completions_and_islands_acceptability_expt_1_nov_13_2012_i.txt line 2.,,
sentence_naturalness_isac_survey_feb_2011,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,sentence_naturalness_isac_survey_feb_2011_i.txt line 2.,,
sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,sentence_naturalness_survey_acd_ratings_hackl_expt_5_oct_25_2012_1_i.txt line 2.,,
sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1,mturk,ok,prompt_meta_leak,low,,,yes,Known leaked meta text present.,sentence_naturalness_survey_acd_ratings_hackl_expt_7_oct_25_2012_1_i.txt line 2.,,
sentence_naturalness_survey_acd_v1_jan_2012,mturk,issues,missing_context_in_unit,high,True,,yes,"Raw trial has Input.trial_1_N (two-turn dialogue context, e.g. Mary states a claim, John draws an inference) and Input.trial_2_N (target sentence spoken by 'Mary', which is what is actually naturalness-rated). Converted 'unit' = trial_2_N alone; context is dropped for all 128 items, so the LLM prompt is a decontextualized mid-dialogue fragment unlike what raters saw.","Converted unit 'Mary: A student failed for leaving class on an exam day when the professor arrived 20 minutes late and then gave the exam.' == raw Input.trial_2_1 verbatim (batch 2012-01-24_Batch_698081.csv, row 42). Raw Input.trial_1_1 for that row (dialogue context, 'Mary:...<br/>John:...') is absent from unit and rest of CSV. Confirmed 128/128 units start with 'Mary:'.",,
sentence_naturalness_survey_acd_v6_oct_25_2012,mturk,issues,missing_context_in_unit,high,True,,yes,"Same structure/issue as v1: Input.trial_1_N (dialogue context) vs Input.trial_2_N (target sentence, actual rated unit). Converted unit = trial_2_N only; context dropped for all items.","Programmatically confirmed 128/128 converted units start with 'Mary:' (no preceding context), same trial_1_N/trial_2_N field structure present in raw batches 2012-10-25_Batch_943718.csv and 943757.csv as in v1.",,
sentence_naturalness_survey_acd_v6_oct_25_2012,mturk,issues,title_description_count_mismatch,low,,,no,"Raw Title says 'Rating 60 English texts' while raw Description on same rows says '56 short texts'; a_index.csv reports n_units=128, matching neither. Internal raw-metadata inconsistency, likely template artifact; no effect on extracted unit text.",df['Title'].unique()=['Rating 60 English texts: PSYCHEDELIC EGGPLANT survey']; df['Description'].unique()=['56 short texts followed by a rating and two questions'] (2012-10-25_Batch_943718.csv).,,"Not fixable/needed -- note on raw metadata quality only, no downstream effect."
sentence_naturalness_survey_for_gs_jan_23_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,mturk,issues,unit_missing_target_content,high,True,,yes,Converted unit is only the setup/context sentence (raw Input.trial_1_{i}); the actual target sentence being rated (Input.trial_2_{i}) was dropped for all items. Verified 48/48 converted units match Input.trial_1_{i} verbatim and 0/48 match Input.trial_2_{i} or the trial_1+trial_2 concatenation.,"raw item 26: trial_1='A car crashes into a lamppost. Someone on the street yells the following:' trial_2='Call the paramedics so that they can help these people.'; converted unit = trial_1 only, ending in a colon with the reported utterance entirely absent. Sibling dataset gs_jan_23_2010 (same task, different raw column-naming convention) correctly concatenates both parts (216/216 match).","Re-extract unit as Input.trial_1_{i} + ' ' + Input.trial_2_{i} for i in 1..48. Instruction text can stay as-is:
How natural does the passage sound?
Rate on a scale from 1 to 5. (scale inferred from observed responses)
Answer with one number.

<<{sentence}>>",
sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_jk_april_4_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_jk_april_4_expt_3_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_jk_april_9_expt_4_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_jk_june_24_2010_v2,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_jk_mar_2010,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
sentence_naturalness_survey_for_jkm_dec_2009,mturk,issues,unit_missing_context,high,True,,yes,"Raw uses a 3-part dialogue: Input.context1-{N}=Mary turn1, Input.context2-{N}=John turn2, Input.sent{N}=Mary turn3 (target). All 128 converted units match only context1+sent, dropping context2 (0/128 match the full 3-part join). All 448 raw item-instances have context2 populated plus a matching comprehension question Input.q2-{N}, proving context2 was shown to and tested on raters.",Converted unit 1 = 'Mary: A thirteen year old trick-or-treater had to be hospitalized after being attacked by an angry dog. Mary: I can't believe somebody can get so irritated by a boy ringing the door bell.' -- the intervening John turn (context2) is absent.,Re-extract unit as Input.context1-{N} + ' ' + Input.context2-{N} + ' ' + Input.sent{N}. Instruction text unchanged: 'How natural does the passage sound? Rate on a scale from 1 to 5. (scale inferred from observed responses) Answer with one number. <<{sentence}>>',
sentence_naturalness_survey_for_jkm_dec_2009,mturk,issues,prompt_meta_leak,low,,,yes,Instruction contains leaked meta text '(scale inferred from observed responses)'.,instructions file line 2,,
