collection,dataset,experiment_group,project_group,project_token,series_core,dimension,scale,owner,dates,n_units,evidence,shares_stimuli_weakly_with,confidence,ask_collaborator
mturk,acd_project_expt_44_the_same_nov_29_2012_1,M-E12,M-P89,acd,acd_project_the_same,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-29..2012-11-29,140,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_no_context_polly_1_nov_23_2012 (0.74) | acd_project_also_3_nov_24_2012_2 (0.25) | acd_project_expt_31_same_diff_verbs_nov_16_2012_1 (0.23) | acd_project_expt_42_also_verbs_nov_29_2012_1 (0.23),medium (names only),yes
mturk,acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,M-E13,M-P89,acd,acd_project_hkv_plaus,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-29..2012-11-29,360,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_project_expt_46_also_in_hkv_2_nov_29_2012_1 (0.62) | sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20 (0.67),high,no
mturk,acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,M-E14,M-P89,acd,acd_project_also_in_hkv,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-11-29..2012-11-29,448,project token 'acd' = acd_context_polly_1_nov_23_2012 | project token 'acd' = acd_no_context_polly_1_nov_23_2012 | project token 'acd' = acd_project_also_2_nov_22_2012_1 | project token 'acd' = acd_project_also_3_nov_24_2012_2 | project token 'acd' = acd_project_expt_23_also_nov_16_2012,acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012 (0.62) | presup_survey_2_acd_july_2012 (0.47) | sentence_naturalness_survey_acd_ratings_hackl_replic_expt_1_july_14_20 (0.25),medium (names only),yes
mturk,active_passive_sentence_naturalness_survey_july_2012,M-E15,M-P15,active,active_passive_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-07-11..2012-07-11,132,,,singleton,yes
mturk,agreement_norming_nov_17,M-E16,M-P17,agreement,agreement_norming,likelihood,Extremely unlikely | Somewhat unlikely | Possible | Somewhat likely | Extremely likely,,2011-11-18..2011-11-18,159,"same stimuli, other dimension: agreement_norming_nov_18 (cont=1.00) | project token 'agreement' = agreement_norming_nov_18",,high,no
mturk,agreement_norming_nov_18,M-E17,M-P17,agreement,agreement_norming,likelihood,Least likely | Less likely | Intermediate | More likely | Most likely,,2011-11-18..2011-11-18,127,"same stimuli, other dimension: agreement_norming_nov_17 (cont=1.00) | project token 'agreement' = agreement_norming_nov_17",,high,no
mturk,alex_paunov_literal_inferences_dec_3_2011,M-E18,M-P18,alex,alex_paunov_literal_inferences,literalness,Extremely non-literal | Somewhat non-literal | Medium | Somewhat literal | Extremely literal,,2011-12-03..2011-12-03,299,,,singleton,yes
mturk,animacy_passive_dative_kyle,M-E19,M-P19,animacy,animacy_passive_dative_kyle,naturalness,Extremely unnatural | Fairly unnatural | Slightly unnatural | Neither natural nor unnatural | Slightly natural | Fairly natural | Extremely natural,,2012-04-30..2012-04-30,120,,,singleton,yes
mturk,anne_abeille_acceptability_july_12_2017_1,M-E20,M-P20,anne,anne_abeille_acceptability,naturalness,Extremely unnatural | Unnatural | Somewhat unnatural | Neutral | Somewhat natural | Natural | Extremely natural,,2017-07-12..2017-07-12,296,,,singleton,yes
mturk,brief_sentence_naturalness_survey_march_2011,M-E21,M-P21,brief,brief_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-03-06..2011-03-06,64,,,singleton,yes
mturk,chomsky_items_2,M-E23,M-P104,chomsky,chomsky,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-02-26..2010-02-26,3,project token 'chomsky' = chomsky_items_1,,medium (names only),yes
mturk,copy_cat_polly_june_2014,M-E26,M-P26,cat,copy_cat_polly,causal_likelihood,Extremely unlikely | Unlikely | Somewhat unlikely | Possible | Somewhat likely | Likely | Extremely likely,,2014-06-12..2014-06-12,100,same stimuli+dimension as copy_cat_polly_dec_2013_1 (cont=0.97) | series suffix variant of copy_cat_polly_dec_2013_1 | same stimuli+dimension as copy_cat_polly_june_2014_v2_1 (cont=1.00) | series suffix variant of copy_cat_polly_june_2014_v2_1,,high,no
mturk,copy_of_verb_causality_study_semantics_ratings_mk_april_2010,M-E160,M-P162,verb,copy_of_verb_causality_study_semantics_ratings_mk,causativity,Always happens on its own | Probably happens on its own | Either is possible | Somebody/something probably makes it | Somebody/something always makes it,,2010-04-20..2010-04-20,62,same stimuli+dimension as copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010 (cont=1.00) | series suffix variant of copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010 | same stimuli+dimension as copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010 (cont=1.00) | series suffix variant of copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010 | same stimuli+dimension as copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010 (cont=1.00),,high,no
mturk,cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions,M-E32,M-P34,cul,cul_jack_short_texts_with_two_comprehension_questions,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2012-04-12..2012-04-12,210,same stimuli+dimension as cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an (cont=1.00) | project token 'cul' = cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an | project token 'cul' = cul_jack_sentence_naturalness_survey_2_sept_2011 | project token 'cul' = cul_jack_sentence_naturalness_survey_april_2010,,high,no
mturk,cul_jack_sentence_naturalness_survey_april_2010,M-E34,M-P34,cul,cul_jack_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-04-11..2010-04-11,220,same stimuli+dimension as 2wh_3wh_sentence_naturalness_survey_april_2011 (cont=1.00) | project token 'cul' = cul_jack_april_12_2012_54_short_texts_with_two_comprehension_questions | project token 'cul' = cul_jack_april_2012_60_short_texts_with_two_comprehension_questions_an | same stimuli+dimension as cul_jack_sentence_naturalness_survey_2_sept_2011 (cont=1.00) | series suffix variant of cul_jack_sentence_naturalness_survey_2_sept_2011,quant_syn_april_13_2012_90_sentences_with_a_question_and_a_rating_code (0.74) | quant_syn_april_14_2012_48_sentences_with_a_question_and_a_rating_code (0.57),high,no
mturk,ecog_sentences_imaginability_jan_8_2014,M-E36,M-P37,ecog,ecog_sentences_imaginability,imaginability,Extremely unimaginable | Somewhat unimaginable | Possible | Somewhat imaginable | Extremely imaginable,,2014-01-21..2014-01-27,120,"same stimuli, other dimension: ecog_sentences_naturalness_jan_8_2014_2 (cont=1.00) | project token 'ecog' = ecog_sentences_naturalness_jan_8_2014_2",,high,no
mturk,ecog_sentences_naturalness_jan_8_2014_2,M-E37,M-P37,ecog,ecog_sentences_naturalness,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2014-01-21..2014-01-27,120,"same stimuli, other dimension: ecog_sentences_imaginability_jan_8_2014 (cont=1.00) | project token 'ecog' = ecog_sentences_imaginability_jan_8_2014",,high,no
mturk,erp_norming_error_detection_june_2013_4,M-E38,M-P39,erp,erp_norming_error_detection,error_likelihood,Extremely unlikely | Somewhat unlikely | Possible | Somewhat likely | Extremely likely,,2013-06-24..2013-06-24,323,"same stimuli, other dimension: erp_sentence_naturalness_survey_june_2013_2 (cont=1.00) | project token 'erp' = erp_sentence_naturalness_survey_june_2013_2",,high,no
mturk,erp_sentence_naturalness_survey_june_2013_2,M-E39,M-P39,erp,erp_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2013-06-24..2013-06-24,484,"same stimuli, other dimension: erp_norming_error_detection_june_2013_4 (cont=1.00) | project token 'erp' = erp_norming_error_detection_june_2013_4",,high,no
mturk,eunice_disfluency_2_nov_17_2011,M-E41,M-P41,eunice,eunice_disfluency,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-11-17..2011-11-17,180,same stimuli+dimension as disfluencies_sentence_naturalness_survey_april_2011 (cont=0.93) | same stimuli+dimension as eunice_disfluency_nov_15_2011 (cont=0.94) | series suffix variant of eunice_disfluency_nov_15_2011,,high,no
mturk,eunice_disfluency_nov_15_2011,M-E41,M-P41,eunice,eunice_disfluency,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-11-15..2011-11-15,468,same stimuli+dimension as disfluencies_sentence_naturalness_survey_april_2011 (cont=1.00) | same stimuli+dimension as eunice_disfluency_2_nov_17_2011 (cont=0.94) | series suffix variant of eunice_disfluency_2_nov_17_2011,reasoning_and_language_tasks_survey_code_talkative_pigeon (0.67) | social_interaction_and_language_tasks_survey_code_talkative_pigeon (0.67),high,no
mturk,imperative_control_iad_gs_may_16_2011_purple_puppy,M-E42,M-P42,imperative,imperative_control_iad_gs_purple_puppy,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2011-05-16..2011-05-16,96,,,singleton,yes
mturk,isac_sentence_naturalness_survey_feb_2011_64_items_survey_code_giant_c,M-E44,M-P115,isac,isac_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2011-02-19..2011-02-19,256,"same stimuli+dimension as isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra (cont=1.00) | series suffix variant of isac_sentence_naturalness_survey_feb_2011_survey_code_giant_cobra | same stimuli, other dimension: sentence_naturalness_isac_survey_feb_2011 (cont=1.00) | project token 'isac' = sentence_naturalness_isac_survey_feb_2011",sentence_naturalness_survey_denise_jan_12_2011_survey_code_pig_the_pig (0.21) | sentence_naturalness_survey_denise_sept_8_2010_survey_code_pig_the_pig (0.24),high,no
mturk,islands_acceptability_expt_2_dec_2_2012,M-E114,M-P114,islands,islands_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2012-12-02..2012-12-02,480,same stimuli+dimension as sentence_completions_and_islands_acceptability_expt_1_nov_13_2012 (cont=0.86),lauren_sentence_naturalness_survey_expt_2_nov_15_2011 (0.21) | lauren_sentence_naturalness_survey_oct_14_2011 (0.22) | orc_lauren_sentence_naturalness_survey_july_2012 (0.27),high,no
mturk,lauren_sentence_naturalness_survey_expt3_nov_17_2011,M-E48,M-P48,lauren,lauren_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-11-17..2011-11-17,460,series suffix variant of lauren_sentence_naturalness_survey_expt_2_nov_15_2011 | series suffix variant of lauren_sentence_naturalness_survey_oct_14_2011,,medium (names only),yes
mturk,lauren_sentence_naturalness_survey_expt_2_nov_15_2011,M-E48,M-P48,lauren,lauren_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-11-15..2011-11-15,252,series suffix variant of lauren_sentence_naturalness_survey_expt3_nov_17_2011 | series suffix variant of lauren_sentence_naturalness_survey_oct_14_2011,islands_acceptability_expt_2_dec_2_2012 (0.21) | lauren_sentence_naturalness_survey_oct_14_2011 (0.60) | orc_lauren_sentence_naturalness_survey_july_2012 (0.34) | sentence_completions_and_islands_acceptability_expt_1_nov_13_2012 (0.43),medium (names only),yes
mturk,lauren_sentence_naturalness_survey_oct_14_2011,M-E48,M-P48,lauren,lauren_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-10-14..2011-10-14,360,series suffix variant of lauren_sentence_naturalness_survey_expt3_nov_17_2011 | series suffix variant of lauren_sentence_naturalness_survey_expt_2_nov_15_2011,islands_acceptability_expt_2_dec_2_2012 (0.22) | lauren_sentence_naturalness_survey_expt_2_nov_15_2011 (0.60) | orc_lauren_sentence_naturalness_survey_july_2012 (0.50) | sentence_completions_and_islands_acceptability_expt_1_nov_13_2012 (0.56),medium (names only),yes
mturk,massive_mem_arousal_mar_2013,M-E52,M-P68,massive,massive_mem_arousal,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,,2013-03-13..2013-03-13,2020,"series suffix variant of massive_mem_arousal_mar_2013_end_2 | series suffix variant of massive_mem_arousal_mar_2014 | series suffix variant of massive_mem_arousal_mar_2014_end_1 | same stimuli, other dimension: massive_mem_concreteness_mar_2013 (cont=0.99) | project token 'massive' = massive_mem_concreteness_mar_2013",,high,no
mturk,massive_mem_arousal_mar_2013_end_2,M-E52,M-P68,massive,massive_mem_arousal,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,,2013-03-13..2013-03-13,242,"series suffix variant of massive_mem_arousal_mar_2013 | series suffix variant of massive_mem_arousal_mar_2014 | series suffix variant of massive_mem_arousal_mar_2014_end_1 | project token 'massive' = massive_mem_concreteness_mar_2013 | same stimuli, other dimension: massive_mem_concreteness_mar_2013_end_1 (cont=0.92)",,high,no
mturk,massive_mem_arousal_mar_2014,M-E52,M-P68,massive,massive_mem_arousal,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,,2014-03-27..2014-03-27,2015,series suffix variant of massive_mem_arousal_mar_2013 | series suffix variant of massive_mem_arousal_mar_2013_end_2 | series suffix variant of massive_mem_arousal_mar_2014_end_1 | project token 'massive' = massive_mem_concreteness_mar_2013 | project token 'massive' = massive_mem_concreteness_mar_2013_end_1,,high,no
mturk,massive_mem_arousal_mar_2014_end_1,M-E52,M-P68,massive,massive_mem_arousal,arousal,Very unexciting/unarousing | Quite unexciting/unarousing | Neutral | Quite exciting/arousing | Very exciting/arousing,,2014-03-27..2014-03-27,242,series suffix variant of massive_mem_arousal_mar_2013 | series suffix variant of massive_mem_arousal_mar_2013_end_2 | series suffix variant of massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_concreteness_mar_2013 | project token 'massive' = massive_mem_concreteness_mar_2013_end_1,,high,no
mturk,massive_mem_concreteness_mar_2013,M-E56,M-P68,massive,massive_mem_concreteness,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,,2013-03-06..2013-03-06,2020,"same stimuli, other dimension: massive_mem_arousal_mar_2013 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_concreteness_mar_2013_end_1,M-E56,M-P68,massive,massive_mem_concreteness,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,,2013-03-06..2013-03-06,242,"project token 'massive' = massive_mem_arousal_mar_2013 | same stimuli, other dimension: massive_mem_arousal_mar_2013_end_2 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_concreteness_mar_2014,M-E56,M-P68,massive,massive_mem_concreteness,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,,2014-03-26..2014-03-26,2019,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | same stimuli, other dimension: massive_mem_arousal_mar_2014 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_concreteness_mar_2014_end_1,M-E56,M-P68,massive,massive_mem_concreteness,concreteness,Very abstract | Quite abstract | Somewhat concrete | Quite concrete | Very concrete,,2014-03-26..2014-03-26,242,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | same stimuli, other dimension: massive_mem_arousal_mar_2014_end_1 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_familiarity_mar_2013,M-E60,M-P68,massive,massive_mem_familiarity,familiarity,don't know what this word/phrase means | Quite unfamiliar | Somewhat familiar | Quite familiar | Very familiar,,2013-03-10..2013-03-12,2020,"same stimuli, other dimension: massive_mem_arousal_mar_2013 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_familiarity_mar_2013_end_1,M-E60,M-P68,massive,massive_mem_familiarity,familiarity,don't know what this word/phrase means | Quite unfamiliar | Somewhat familiar | Quite familiar | Very familiar,,2013-03-12..2013-03-12,242,"project token 'massive' = massive_mem_arousal_mar_2013 | same stimuli, other dimension: massive_mem_arousal_mar_2013_end_2 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_familiarity_mar_2014,M-E60,M-P68,massive,massive_mem_familiarity,familiarity,don't know what this word/phrase means | Quite unfamiliar | Somewhat familiar | Quite familiar | Very familiar,,2014-03-27..2014-03-27,2020,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | same stimuli, other dimension: massive_mem_arousal_mar_2014 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_familiarity_mar_2014_end_1,M-E60,M-P68,massive,massive_mem_familiarity,familiarity,don't know what this word/phrase means | Quite unfamiliar | Somewhat familiar | Quite familiar | Very familiar,,2014-03-27..2014-03-27,242,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | same stimuli, other dimension: massive_mem_arousal_mar_2014_end_1 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_imageability_mar_2013,M-E64,M-P68,massive,massive_mem_imageability,imageability,Really not imageable | Not very imageable | Somewhat imageable | Quite imageable | Highly imageable,,2013-03-05..2013-03-05,2020,"same stimuli, other dimension: massive_mem_arousal_mar_2013 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_imageability_mar_2013_end_1,M-E64,M-P68,massive,massive_mem_imageability,imageability,Really not imageable | Not very imageable | Somewhat imageable | Quite imageable | Highly imageable,,2013-03-05..2013-03-05,242,"project token 'massive' = massive_mem_arousal_mar_2013 | same stimuli, other dimension: massive_mem_arousal_mar_2013_end_2 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_imageability_mar_2014,M-E64,M-P68,massive,massive_mem_imageability,imageability,Really not imageable | Not very imageable | Somewhat imageable | Quite imageable | Highly imageable,,2014-03-26..2014-03-26,2019,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | same stimuli, other dimension: massive_mem_arousal_mar_2014 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_imageability_mar_2014_end_1,M-E64,M-P68,massive,massive_mem_imageability,imageability,Really not imageable | Not very imageable | Somewhat imageable | Quite imageable | Highly imageable,,2014-03-26..2014-03-26,242,"project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | same stimuli, other dimension: massive_mem_arousal_mar_2014_end_1 (cont=0.92) | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
mturk,massive_mem_valence_mar_2013,M-E68,M-P68,massive,massive_mem_valence,valence,Very unpleasant/negative | Quite unpleasant/negative | Neutral | Quite pleasant/positive | Very pleasant/positive,,2013-03-12..2013-03-13,2020,"same stimuli, other dimension: massive_mem_arousal_mar_2013 (cont=0.99) | project token 'massive' = massive_mem_arousal_mar_2013 | project token 'massive' = massive_mem_arousal_mar_2013_end_2 | project token 'massive' = massive_mem_arousal_mar_2014 | project token 'massive' = massive_mem_arousal_mar_2014_end_1",,high,no
