id,collection,csv_path,instruction_path,level,sublevel,decided_by,rationale,blind_verification_level,blind_agrees,note
lancaster2020_gustatory,published,norm_datasets/lancaster2020_data/lancaster2020_gustatory.csv,instructions/lancaster2020_instructions/lancaster2020_gustatory_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_hand_arm,published,norm_datasets/lancaster2020_data/lancaster2020_hand_arm.csv,instructions/lancaster2020_instructions/lancaster2020_hand_arm_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_haptic,published,norm_datasets/lancaster2020_data/lancaster2020_haptic.csv,instructions/lancaster2020_instructions/lancaster2020_haptic_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_head,published,norm_datasets/lancaster2020_data/lancaster2020_head.csv,instructions/lancaster2020_instructions/lancaster2020_head_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_interoceptive,published,norm_datasets/lancaster2020_data/lancaster2020_interoceptive.csv,instructions/lancaster2020_instructions/lancaster2020_interoceptive_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_mouth,published,norm_datasets/lancaster2020_data/lancaster2020_mouth.csv,instructions/lancaster2020_instructions/lancaster2020_mouth_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_olfactory,published,norm_datasets/lancaster2020_data/lancaster2020_olfactory.csv,instructions/lancaster2020_instructions/lancaster2020_olfactory_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_torso,published,norm_datasets/lancaster2020_data/lancaster2020_torso.csv,instructions/lancaster2020_instructions/lancaster2020_torso_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
lancaster2020_visual,published,norm_datasets/lancaster2020_data/lancaster2020_visual.csv,instructions/lancaster2020_instructions/lancaster2020_visual_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
muraki2023_concreteness,published,norm_datasets/muraki2023_data/muraki2023_concreteness.csv,instructions/muraki2023_instructions/muraki2023_concreteness_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
pexman2019_body_object_interaction,published,norm_datasets/pexman2019_data/pexman2019_body_object_interaction.csv,instructions/pexman2019_instructions/pexman2019_body_object_interaction_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
scott2018_age_of_acquisition,published,norm_datasets/scott2018_data/scott2018_age_of_acquisition.csv,instructions/scott2018_instructions/scott2018_age_of_acquisition_i.txt,other,lexical,andrea_policy_Q3,word-level psycholinguistic variable that is not meaning (AoA/familiarity) | merged into `other` 2026-08-22 (was lexical_other); sublevel=lexical,other/lexical,yes,
scott2018_arousal,published,norm_datasets/scott2018_data/scott2018_arousal.csv,instructions/scott2018_instructions/scott2018_arousal_i.txt,lexical_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/affective,yes,
scott2018_concreteness,published,norm_datasets/scott2018_data/scott2018_concreteness.csv,instructions/scott2018_instructions/scott2018_concreteness_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
scott2018_dominance,published,norm_datasets/scott2018_data/scott2018_dominance.csv,instructions/scott2018_instructions/scott2018_dominance_i.txt,lexical_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/affective,yes,
scott2018_familiarity,published,norm_datasets/scott2018_data/scott2018_familiarity.csv,instructions/scott2018_instructions/scott2018_familiarity_i.txt,other,lexical,andrea_policy_Q3,word-level psycholinguistic variable that is not meaning (AoA/familiarity) | merged into `other` 2026-08-22 (was lexical_other); sublevel=lexical,other/lexical,yes,
scott2018_gender,published,norm_datasets/scott2018_data/scott2018_gender.csv,instructions/scott2018_instructions/scott2018_gender_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
scott2018_imageability,published,norm_datasets/scott2018_data/scott2018_imageability.csv,instructions/scott2018_instructions/scott2018_imageability_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
scott2018_size,published,norm_datasets/scott2018_data/scott2018_size.csv,instructions/scott2018_instructions/scott2018_size_i.txt,lexical_semantics,perceptual_motor,fable_resolution,physical size of the referent = perceptual magnitude,lexical_semantics/perceptual_motor,yes,
scott2018_valence,published,norm_datasets/scott2018_data/scott2018_valence.csv,instructions/scott2018_instructions/scott2018_valence_i.txt,lexical_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/affective,yes,
troche2014_auditory,published,norm_datasets/troche2014_data/troche2014_auditory.csv,instructions/troche2014_instructions/troche2014_auditory_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
troche2014_color,published,norm_datasets/troche2014_data/troche2014_color.csv,instructions/troche2014_instructions/troche2014_color_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
troche2014_emotion,published,norm_datasets/troche2014_data/troche2014_emotion.csv,instructions/troche2014_instructions/troche2014_emotion_i.txt,lexical_semantics,affective,fable_resolution,word-emotion association feature,lexical_semantics/affective,yes,
troche2014_morality,published,norm_datasets/troche2014_data/troche2014_morality.csv,instructions/troche2014_instructions/troche2014_morality_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
troche2014_motion_self,published,norm_datasets/troche2014_data/troche2014_motion_self.csv,instructions/troche2014_instructions/troche2014_motion_self_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
troche2014_polarity,published,norm_datasets/troche2014_data/troche2014_polarity.csv,instructions/troche2014_instructions/troche2014_polarity_i.txt,lexical_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/affective,yes,
troche2014_quantity,published,norm_datasets/troche2014_data/troche2014_quantity.csv,instructions/troche2014_instructions/troche2014_quantity_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
troche2014_social_interaction,published,norm_datasets/troche2014_data/troche2014_social_interaction.csv,instructions/troche2014_instructions/troche2014_social_interaction_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
troche2014_space,published,norm_datasets/troche2014_data/troche2014_space.csv,instructions/troche2014_instructions/troche2014_space_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
troche2014_tactile,published,norm_datasets/troche2014_data/troche2014_tactile.csv,instructions/troche2014_instructions/troche2014_tactile_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
troche2014_taste_smell,published,norm_datasets/troche2014_data/troche2014_taste_smell.csv,instructions/troche2014_instructions/troche2014_taste_smell_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
troche2014_thought,published,norm_datasets/troche2014_data/troche2014_thought.csv,instructions/troche2014_instructions/troche2014_thought_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
troche2014_time,published,norm_datasets/troche2014_data/troche2014_time.csv,instructions/troche2014_instructions/troche2014_time_i.txt,lexical_semantics,conceptual,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/conceptual,yes,
troche2014_visual_form,published,norm_datasets/troche2014_data/troche2014_visual_form.csv,instructions/troche2014_instructions/troche2014_visual_form_i.txt,lexical_semantics,perceptual_motor,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/perceptual_motor,yes,
tuckute2024_arousal,published,norm_datasets/tuckute2024_data/tuckute2024_arousal.csv,instructions/tuckute2024_instructions/tuckute2024_arousal_i.txt,sentence_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/affective,yes,
tuckute2024_conversational_frequency,published,norm_datasets/tuckute2024_data/tuckute2024_conversational_frequency.csv,instructions/tuckute2024_instructions/tuckute2024_conversational_frequency_i.txt,other,sentence,andrea_policy_Q3,"sentence-level frequency / cloze predictability / word-length-in-context — not lexical, not a semantic dimension | merged into `other` 2026-08-22 (was other); sublevel=sentence",other,yes,
tuckute2024_general_frequency,published,norm_datasets/tuckute2024_data/tuckute2024_general_frequency.csv,instructions/tuckute2024_instructions/tuckute2024_general_frequency_i.txt,other,sentence,andrea_policy_Q3,"sentence-level frequency / cloze predictability / word-length-in-context — not lexical, not a semantic dimension | merged into `other` 2026-08-22 (was other); sublevel=sentence",other,yes,
tuckute2024_grammatical_well_formedness,published,norm_datasets/tuckute2024_data/tuckute2024_grammatical_well_formedness.csv,instructions/tuckute2024_instructions/tuckute2024_grammatical_well_formedness_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
tuckute2024_imageability,published,norm_datasets/tuckute2024_data/tuckute2024_imageability.csv,instructions/tuckute2024_instructions/tuckute2024_imageability_i.txt,sentence_semantics,conceptual_content,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/conceptual_content,yes,
tuckute2024_mental_states,published,norm_datasets/tuckute2024_data/tuckute2024_mental_states.csv,instructions/tuckute2024_instructions/tuckute2024_mental_states_i.txt,sentence_semantics,conceptual_content,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/conceptual_content,yes,
tuckute2024_physical_objects,published,norm_datasets/tuckute2024_data/tuckute2024_physical_objects.csv,instructions/tuckute2024_instructions/tuckute2024_physical_objects_i.txt,sentence_semantics,conceptual_content,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/conceptual_content,yes,
tuckute2024_places,published,norm_datasets/tuckute2024_data/tuckute2024_places.csv,instructions/tuckute2024_instructions/tuckute2024_places_i.txt,sentence_semantics,conceptual_content,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/conceptual_content,yes,
tuckute2024_plausibility,published,norm_datasets/tuckute2024_data/tuckute2024_plausibility.csv,instructions/tuckute2024_instructions/tuckute2024_plausibility_i.txt,sentence_semantics,plausibility,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/plausibility,yes,
tuckute2024_valence,published,norm_datasets/tuckute2024_data/tuckute2024_valence.csv,instructions/tuckute2024_instructions/tuckute2024_valence_i.txt,sentence_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",sentence_semantics/affective,yes,
warriner2013_arousal,published,norm_datasets/warriner2013_data/warriner2013_arousal.csv,instructions/warriner2013_instructions/warriner2013_arousal_i.txt,lexical_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/affective,yes,
warriner2013_dominance,published,norm_datasets/warriner2013_data/warriner2013_dominance.csv,instructions/warriner2013_instructions/warriner2013_dominance_i.txt,lexical_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/affective,yes,
warriner2013_valence,published,norm_datasets/warriner2013_data/warriner2013_valence.csv,instructions/warriner2013_instructions/warriner2013_valence_i.txt,lexical_semantics,affective,agents_consensus,"two independent classifiers agreed, confident, unflagged",lexical_semantics/affective,yes,
winter2017_iconicity,published,norm_datasets/winter2017_data/winter2017_iconicity.csv,instructions/winter2017_instructions/winter2017_iconicity_i.txt,subword,,andrea_policy_Q4,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",subword,yes,
winter2024_iconicity,published,norm_datasets/winter2024_data/winter2024_iconicity.csv,instructions/winter2024_instructions/winter2024_iconicity_i.txt,subword,,andrea_policy_Q4,"rating driven by word form (pseudoword valence, iconicity, wordlikeness)",subword,yes,
missing_vp_extension,surveyor,surveyor_norms/norm_datasets/sentence_semantics/missing_vp_extension.csv,surveyor_norms/instructions/sentence_semantics/missing_vp_extension_i.txt,syntax,,fable_resolution,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",syntax,yes,
extension,surveyor,surveyor_norms/norm_datasets/syntax/extension.csv,surveyor_norms/instructions/syntax/extension_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
can_noncan_acceptability_2,surveyor,surveyor_norms/norm_datasets/syntax/can_noncan_acceptability_2.csv,surveyor_norms/instructions/syntax/can_noncan_acceptability_2_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
can_noncan_acceptability_0924,surveyor,surveyor_norms/norm_datasets/syntax/can_noncan_acceptability_0924.csv,surveyor_norms/instructions/syntax/can_noncan_acceptability_0924_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with susan_canonicity_rerunning",syntax,yes,
missing_vp_extension_0501_final,surveyor,surveyor_norms/norm_datasets/sentence_semantics/missing_vp_extension_0501_final.csv,surveyor_norms/instructions/sentence_semantics/missing_vp_extension_0501_final_i.txt,syntax,,fable_resolution,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",syntax,yes,
susan_canonicity_rerunning_2,surveyor,surveyor_norms/norm_datasets/syntax/susan_canonicity_rerunning_2.csv,surveyor_norms/instructions/syntax/susan_canonicity_rerunning_2_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with susan_canonicity_rerunning_3",syntax,yes,
of_acceptability_2,surveyor,surveyor_norms/norm_datasets/syntax/of_acceptability_2.csv,surveyor_norms/instructions/syntax/of_acceptability_2_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
gabriel_wh,surveyor,surveyor_norms/non_english/norm_datasets/syntax/gabriel_wh.csv,surveyor_norms/non_english/instructions/syntax/gabriel_wh_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
constituency_tests,surveyor,surveyor_norms/norm_datasets/syntax/constituency_tests.csv,surveyor_norms/instructions/syntax/constituency_tests_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with topicalization_e2 (identical items + instruction; ratings pooled)",syntax,yes,
constituency_tests_2,surveyor,surveyor_norms/norm_datasets/syntax/constituency_tests_2.csv,surveyor_norms/instructions/syntax/constituency_tests_2_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
european_portuguese_rc,surveyor,surveyor_norms/non_english/norm_datasets/syntax/european_portuguese_rc.csv,surveyor_norms/non_english/instructions/syntax/european_portuguese_rc_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
gabriel_rc,surveyor,surveyor_norms/non_english/norm_datasets/syntax/gabriel_rc.csv,surveyor_norms/non_english/instructions/syntax/gabriel_rc_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
russian_freezing,surveyor,surveyor_norms/non_english/norm_datasets/syntax/russian_freezing.csv,surveyor_norms/non_english/instructions/syntax/russian_freezing_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
clefting_e3,surveyor,surveyor_norms/norm_datasets/syntax/clefting_e3.csv,surveyor_norms/instructions/syntax/clefting_e3_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
huang_response_set1b,surveyor,surveyor_norms/norm_datasets/syntax/huang_response_set1b.csv,surveyor_norms/instructions/syntax/huang_response_set1b_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
european_portuguese_wh,surveyor,surveyor_norms/non_english/norm_datasets/syntax/european_portuguese_wh.csv,surveyor_norms/non_english/instructions/syntax/european_portuguese_wh_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
crossed_dependencies_long,surveyor,surveyor_norms/norm_datasets/syntax/crossed_dependencies_long.csv,surveyor_norms/instructions/syntax/crossed_dependencies_long_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with crossed_dependencies",syntax,yes,
clefting_e4,surveyor,surveyor_norms/norm_datasets/syntax/clefting_e4.csv,surveyor_norms/instructions/syntax/clefting_e4_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with clefting_e4_rep, clefting_e4_rep2 (identical items + instruction; ratings pooled)",syntax,yes,
italian_locative_v7,surveyor,surveyor_norms/non_english/norm_datasets/syntax/italian_locative_v7.csv,surveyor_norms/non_english/instructions/syntax/italian_locative_v7_i.txt,discourse,,andrea_rule_context_v3,context manipulated across items: 26/30 families cross context variants with target variants (givenness × order),discourse,yes,
italian_dative_v2,surveyor,surveyor_norms/non_english/norm_datasets/syntax/italian_dative_v2.csv,surveyor_norms/non_english/instructions/syntax/italian_dative_v2_i.txt,discourse,,andrea_rule_context_v3,context manipulated across items: 14 families cross context with order,discourse,yes,
huang_response_set1a,surveyor,surveyor_norms/norm_datasets/syntax/huang_response_set1a.csv,surveyor_norms/instructions/syntax/huang_response_set1a_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
huang_response_set2a,surveyor,surveyor_norms/norm_datasets/syntax/huang_response_set2a.csv,surveyor_norms/instructions/syntax/huang_response_set2a_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
huang_response_set2b,surveyor,surveyor_norms/norm_datasets/syntax/huang_response_set2b.csv,surveyor_norms/instructions/syntax/huang_response_set2b_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
huang_response_set2a_declaratives,surveyor,surveyor_norms/norm_datasets/syntax/huang_response_set2a_declaratives.csv,surveyor_norms/instructions/syntax/huang_response_set2a_declaratives_i.txt,syntax,,fable_resolution,"acceptability of verb/adjective + complement frames (subcategorization) — syntax-lexicon interface, treated as syntax",syntax,yes,
huang_response_set2b_declaratives,surveyor,surveyor_norms/norm_datasets/syntax/huang_response_set2b_declaratives.csv,surveyor_norms/instructions/syntax/huang_response_set2b_declaratives_i.txt,syntax,,fable_resolution,"acceptability of verb/adjective + complement frames (subcategorization) — syntax-lexicon interface, treated as syntax",syntax,yes,
chinese_dative,surveyor,surveyor_norms/non_english/norm_datasets/syntax/chinese_dative.csv,surveyor_norms/non_english/instructions/syntax/chinese_dative_i.txt,discourse,,andrea_rule_context_v3,context manipulated across items: same dative-in-context design as Finnish/Turkish/Italian (context sets givenness),discourse,yes,
dative_finnish,surveyor,surveyor_norms/non_english/norm_datasets/syntax/dative_finnish.csv,surveyor_norms/non_english/instructions/syntax/dative_finnish_i.txt,discourse,,andrea_rule_context_v3,context manipulated across items: 10 families cross context with order,discourse,yes,
dative_turkish,surveyor,surveyor_norms/non_english/norm_datasets/syntax/dative_turkish.csv,surveyor_norms/non_english/instructions/syntax/dative_turkish_i.txt,discourse,,andrea_rule_context_v3,context manipulated across items: 12 families cross context with order,discourse,yes,
topicalization_e1,surveyor,surveyor_norms/norm_datasets/syntax/topicalization_e1.csv,surveyor_norms/instructions/syntax/topicalization_e1_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with topicalization_e1_v2",syntax,yes,
relative_clause_displacements_in_english_sentences_with_fill,surveyor,surveyor_norms/norm_datasets/sentence_semantics/relative_clause_displacements_in_english_sentences_with_fill.csv,surveyor_norms/instructions/sentence_semantics/relative_clause_displacements_in_english_sentences_with_fill_i.txt,syntax,,fable_resolution,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",syntax,yes,
aixiu_coherence_en_update1,surveyor,surveyor_norms/norm_datasets/sentence_semantics/aixiu_coherence_en_update1.csv,surveyor_norms/instructions/sentence_semantics/aixiu_coherence_en_update1_i.txt,sentence_semantics,plausibility,andrea_policy_Q5,"naturalness asked, but items vary in meaning (semantic/animacy anomalies, malapropisms, personification)",sentence_semantics/plausibility,yes,
rating_english_sentences,surveyor,surveyor_norms/norm_datasets/syntax/rating_english_sentences.csv,surveyor_norms/instructions/syntax/rating_english_sentences_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
depth_charge_survey,surveyor,surveyor_norms/norm_datasets/syntax/depth_charge_survey.csv,surveyor_norms/instructions/syntax/depth_charge_survey_i.txt,sentence_semantics,plausibility,fable_resolution,"comparative-illusion items: logical/semantic sense varies, structure constant",sentence_semantics/plausibility,yes,
depth_charge_with_noise,surveyor,surveyor_norms/norm_datasets/syntax/depth_charge_with_noise.csv,surveyor_norms/instructions/syntax/depth_charge_with_noise_i.txt,sentence_semantics,plausibility,fable_resolution,"comparative-illusion items: logical/semantic sense varies, structure constant",syntax,no,blind pass: syntax (noise corruptions in ~28% of items). Kept: 72% of items are the depth-charge illusion set; noise is a secondary factor.
locative_topicalization_survey,surveyor,surveyor_norms/norm_datasets/syntax/locative_topicalization_survey.csv,surveyor_norms/instructions/syntax/locative_topicalization_survey_i.txt,discourse,,andrea_rule_context_v3,"context manipulated across items: 26/71 families cross context (referent introduced or not) with target (a/the, inversion)",discourse,yes,
discourse_30subjs_list4,surveyor,surveyor_norms/norm_datasets/sentence_semantics/discourse_30subjs_list4.csv,surveyor_norms/instructions/sentence_semantics/discourse_30subjs_list4_i.txt,discourse,,agents_consensus,"two independent classifiers agreed, confident, unflagged",discourse,yes,
missing_vp_rereplication,surveyor,surveyor_norms/norm_datasets/sentence_semantics/missing_vp_rereplication.csv,surveyor_norms/instructions/sentence_semantics/missing_vp_rereplication_i.txt,syntax,,fable_resolution,"comprehensibility/naturalness of structurally complex (center-embedded, displaced) sentences: what varies is structure; comprehensibility is a processing measure of it",syntax,yes,
dative_alternation_extension_version_2,surveyor,surveyor_norms/norm_datasets/syntax/dative_alternation_extension_version_2.csv,surveyor_norms/instructions/syntax/dative_alternation_extension_version_2_i.txt,syntax,,agents_consensus,"two independent classifiers agreed, confident, unflagged",syntax,yes,
