task,level,sublevel,source,language,scale,n_items,n_ratings,ratings_per_item_min,ratings_per_item_median,ratings_per_item_max,has_individual_ratings,human_r_sb,human_rho_sb,reliability_items_used,level_decided_by,level_blind_check_agrees,level_rationale,merged_from,question_wording,path
massive_mem_imageability_mar_2013,lexical_semantics,perceptual_motor,mturk,english,1-5,2020,71770,28,30,269,True,0.961,0.961,2020,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_imageability_mar_2013
massive_mem_imageability_mar_2013_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7231,28,30,30,True,0.967,0.963,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_imageability_mar_2013_end_1
massive_mem_imageability_mar_2014,lexical_semantics,perceptual_motor,mturk,english,1-5,2019,85823,34,39,361,True,0.947,0.948,2019,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_imageability_mar_2014
massive_mem_imageability_mar_2014_end_1,lexical_semantics,perceptual_motor,mturk,english,1-5,242,7233,28,30,30,True,0.967,0.964,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_imageability_mar_2014_end_1
massive_mem_valence_mar_2013,lexical_semantics,affective,mturk,english,1-5,2020,66485,27,30,248,True,0.968,0.948,2020,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed: question wording paraphrases the dimension name and scale-endpoint semantics; raw MTurk HIT Title/Description ('Rate N English words / phrases for <dimension>') verified verbatim in questionnaire_wording.csv row for source_folder and in raw batch CSV Title/Description fields; no literal on-page question text recovered (template_source pointer in questionnaire_wording.csv resolves to an unrelated bias_norm.html A/B-preference template, not the single-item word-rating page actually used).",data/lexical_semantics/massive_mem_valence_mar_2013
massive_mem_valence_mar_2013_end_1,lexical_semantics,affective,mturk,english,1-5,242,7220,28,30,30,True,0.984,0.966,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,raw Title/Description state the dimension verbatim ('Rating 242 English words / phrases for valence / pleasantness'),data/lexical_semantics/massive_mem_valence_mar_2013_end_1
massive_mem_valence_mar_2014,lexical_semantics,affective,mturk,english,1-5,2018,63913,27,30,267,True,0.973,0.961,2018,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,raw Title/Description state the dimension verbatim ('Rating 270 English words / phrases for valence / pleasantness'),data/lexical_semantics/massive_mem_valence_mar_2014
massive_mem_valence_mar_2014_end_1,lexical_semantics,affective,mturk,english,1-5,242,7220,28,30,30,True,0.972,0.959,242,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,raw Title/Description state the dimension verbatim ('Rating 270 English words / phrases for valence / pleasantness'),data/lexical_semantics/massive_mem_valence_mar_2014_end_1
muraki2023_concreteness,lexical_semantics,perceptual_motor,published,english,1-5,66404,691689,1,10,55,True,0.828,0.829,66293,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/muraki2023_concreteness
pexman2019_body_object_interaction,lexical_semantics,perceptual_motor,published,english,1-7,9349,248442,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/pexman2019_body_object_interaction
scott2018_arousal,lexical_semantics,affective,published,english,1-9,5553,184979,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/scott2018_arousal
scott2018_concreteness,lexical_semantics,perceptual_motor,published,english,1-7,5553,185119,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/scott2018_concreteness
scott2018_dominance,lexical_semantics,affective,published,english,1-9,5553,184579,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/scott2018_dominance
scott2018_gender,lexical_semantics,conceptual,published,english,1-7,5553,184651,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/scott2018_gender
scott2018_imageability,lexical_semantics,perceptual_motor,published,english,1-7,5553,184932,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/scott2018_imageability
scott2018_size,lexical_semantics,perceptual_motor,published,english,1-7,5553,184940,,,,False,,,0,fable_resolution,True,physical size of the referent = perceptual magnitude,,,data/lexical_semantics/scott2018_size
scott2018_valence,lexical_semantics,affective,published,english,1-9,5553,186247,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/scott2018_valence
troche2014_auditory,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_auditory
troche2014_color,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_color
troche2014_emotion,lexical_semantics,affective,published,english,1-7,751,16620,,,,False,,,0,fable_resolution,True,word-emotion association feature,,,data/lexical_semantics/troche2014_emotion
troche2014_morality,lexical_semantics,conceptual,published,english,1-7,751,16620,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_morality
troche2014_motion_self,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_motion_self
troche2014_polarity,lexical_semantics,affective,published,english,1-7,751,15820,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_polarity
troche2014_quantity,lexical_semantics,conceptual,published,english,1-7,751,16220,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_quantity
troche2014_social_interaction,lexical_semantics,conceptual,published,english,1-7,751,16220,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_social_interaction
troche2014_space,lexical_semantics,conceptual,published,english,1-7,751,17020,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_space
troche2014_tactile,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_tactile
troche2014_taste_smell,lexical_semantics,perceptual_motor,published,english,1-7,751,15771,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_taste_smell
troche2014_thought,lexical_semantics,conceptual,published,english,1-7,751,15420,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_thought
troche2014_time,lexical_semantics,conceptual,published,english,1-7,751,15820,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_time
troche2014_visual_form,lexical_semantics,perceptual_motor,published,english,1-7,751,15020,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/troche2014_visual_form
verb_causality_study_semantics_ratings_mk_april_2010,lexical_semantics,conceptual,mturk,english,1-5,188,9869,38,42,80,True,0.975,0.972,188,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,"reconstructed directly from the label poles ('Always happens on its own' vs 'Somebody/something always makes it'): 'Does the event named by the word happen on its own, or does somebody or something make it happen?' No literal on-page question text recovered (dashboard_instructions empty), but this is this folder's OWN dashboard row (wording_sources=local_template;dashboard_layout, scale_source_project matches this questionnaire's own name, match_score 0.67).",data/lexical_semantics/verb_causality_study_semantics_ratings_mk_april_2010
warriner2013_arousal,lexical_semantics,affective,published,english,1-9,13915,319684,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/warriner2013_arousal
warriner2013_dominance,lexical_semantics,affective,published,english,1-9,13915,338345,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/warriner2013_dominance
warriner2013_valence,lexical_semantics,affective,published,english,1-9,13915,303520,,,,False,,,0,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/lexical_semantics/warriner2013_valence
acceptability_extension_959_v5,syntax,,surveyor,english,1-7,566,2155,1,4,10,True,0.806,0.797,514,andrea_review_page,True,Andrea (review page): lead-in contexts inert; scrambled target judged on its own → syntax,,,data/syntax/acceptability_extension_959_v5
acceptability_judgments_kang,syntax,,mturk,english,1-5,136,5406,38,40,40,True,0.98,0.974,136,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/acceptability_judgments_kang
acceptability_replication_959,syntax,,surveyor,english,1-7,288,6126,11,21,34,True,0.973,0.964,288,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with montemayor_replication_acceptability_in_syntax, replication_v6 (identical items + instruction; ratings pooled)",montemayor_replication_acceptability_in_syntax;replication_v6,,data/syntax/acceptability_replication_959
acd_no_context_polly_1_nov_23_2012,syntax,,mturk,english,1-5,213,21610,14,45,418,True,0.861,0.838,213,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/acd_no_context_polly_1_nov_23_2012
acd_project_also_3_nov_24_2012_2,syntax,,mturk,english,1-5,128,3338,13,15,60,True,0.906,0.874,128,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/acd_project_also_3_nov_24_2012_2
acd_project_expt_23_also_nov_16_2012,syntax,,mturk,english,1-5,600,10695,8,18,23,True,0.828,0.825,600,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with acd_project_also_2_nov_22_2012_1",acd_project_also_2_nov_22_2012_1,reconstructed,data/syntax/acd_project_expt_23_also_nov_16_2012
acd_project_expt_24_same_diff_verbs_nov_16_2012,syntax,,mturk,english,1-5,472,21363,13,58,60,True,0.896,0.89,472,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/acd_project_expt_24_same_diff_verbs_nov_16_2012
acd_project_expt_31_same_diff_verbs_nov_16_2012_1,syntax,,mturk,english,1-5,176,3342,8,10,60,True,0.74,0.755,176,andrea_policy_Q1,True,"isolated sentences, no context; ellipsis/ACD structure varies",,reconstructed,data/syntax/acd_project_expt_31_same_diff_verbs_nov_16_2012_1
acd_project_expt_42_also_verbs_nov_29_2012_1,syntax,,mturk,english,1-5,176,4049,13,15,60,True,0.786,0.63,176,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/acd_project_expt_42_also_verbs_nov_29_2012_1
acd_project_expt_44_the_same_nov_29_2012_1,syntax,,mturk,english,1-5,140,2931,8,10,60,True,0.625,0.601,140,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/acd_project_expt_44_the_same_nov_29_2012_1
acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012,syntax,,mturk,english,1-5,360,7023,18,20,20,True,0.784,0.774,360,andrea_policy_Q1,True,"isolated sentences, no context; ellipsis/ACD structure varies",,reconstructed,data/syntax/acd_project_expt_45_hkv_expt_2_plaus_nov_29_2012
acd_project_expt_46_also_in_hkv_2_nov_29_2012_1,syntax,,mturk,english,1-5,448,3524,6,8,8,True,0.596,0.56,448,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/acd_project_expt_46_also_in_hkv_2_nov_29_2012_1
active_passive_sentence_naturalness_survey_july_2012,syntax,,mturk,english,1-5,132,6624,25,28,111,True,0.927,0.887,132,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/active_passive_sentence_naturalness_survey_july_2012
animacy_passive_dative_kyle,syntax,,mturk,english,1-7,120,4649,35,39,40,True,0.921,0.926,120,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/animacy_passive_dative_kyle
anne_abeille_acceptability_july_12_2017_1,syntax,,mturk,english,1-7,296,4284,6,8,64,True,0.655,0.635,296,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,reconstructed,data/syntax/anne_abeille_acceptability_july_12_2017_1
base_acceptability_0908,syntax,,surveyor,english,1-5,73,4247,30,61,62,True,0.943,0.931,73,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with base_acceptability_0911",base_acceptability_0911,,data/syntax/base_acceptability_0908
can_noncan_acceptability_0924,syntax,,surveyor,english,1-5,88,5276,50,60,70,True,0.968,0.966,88,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with susan_canonicity_rerunning",susan_canonicity_rerunning,,data/syntax/can_noncan_acceptability_0924
can_noncan_acceptability_2,syntax,,surveyor,english,1-5,88,3895,22,36,61,True,0.963,0.962,88,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/can_noncan_acceptability_2
chomsky_items_2,syntax,,mturk,english,1-5,3,178,59,59,60,True,0.999,0.667,3,andrea_policy_Q1,True,"isolated sentences, no context; ellipsis/ACD structure varies",,"dashboard_confirmed (RESOLVED_QUERIES.md, 2026-08-20)",data/syntax/chomsky_items_2
class_demo,syntax,,surveyor,english,1-5,44,1110,5,16,57,True,0.941,0.927,44,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with demo_9_59_2025, demo_9_59_2026 (identical items + instruction; ratings pooled)",demo_9_59_2025;demo_9_59_2026,,data/syntax/class_demo
clefting_e3,syntax,,surveyor,english,1-5,48,1217,19,25,32,True,0.904,0.877,48,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/clefting_e3
clefting_e4,syntax,,surveyor,english,1-5,48,7244,128,151,173,True,0.979,0.969,48,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with clefting_e4_rep, clefting_e4_rep2 (identical items + instruction; ratings pooled)",clefting_e4_rep;clefting_e4_rep2,,data/syntax/clefting_e4
constituency_tests,syntax,,surveyor,english,1-5,48,2441,41,51,61,True,0.689,0.654,48,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 with topicalization_e2 (identical items + instruction; ratings pooled)",topicalization_e2,,data/syntax/constituency_tests
constituency_tests_2,syntax,,surveyor,english,1-5,48,1227,21,27,30,True,0.903,0.836,48,agents_consensus,True,"two independent classifiers agreed, confident, unflagged",,,data/syntax/constituency_tests_2
crossed_dependencies_long,syntax,,surveyor,english,1-5,201,7258,3,20,102,True,0.908,0.899,201,agents_consensus,True,"two independent classifiers agreed, confident, unflagged | MERGED 2026-08-22 (near-duplicate, pooled on shared items) with crossed_dependencies",crossed_dependencies,,data/syntax/crossed_dependencies_long
